response_id,time,subscale,item,score
R_5AVWI45K9Om73Gh,before,loneliness,3,2
R_5AVWI45K9Om73Gh,after,loneliness,1,1
R_5AVWI45K9Om73Gh,after,loneliness,2,1
R_5AVWI45K9Om73Gh,after,loneliness,3,2
R_0xNlcN3NDWsWFsl,before,loneliness,1,2
R_0xNlcN3NDWsWFsl,before,loneliness,2,2
R_0xNlcN3NDWsWFsl,before,loneliness,3,2
R_0xNlcN3NDWsWFsl,after,loneliness,1,2
R_0xNlcN3NDWsWFsl,after,loneliness,2,2
R_0xNlcN3NDWsWFsl,after,loneliness,3,2
R_2ZNqbe16jkaSqDs,before,loneliness,1,1
R_2ZNqbe16jkaSqDs,before,loneliness,2,1
R_2ZNqbe16jkaSqDs,before,loneliness,3,1
R_2ZNqbe16jkaSqDs,after,loneliness,1,1
R_2ZNqbe16jkaSqDs,after,loneliness,2,1
R_2ZNqbe16jkaSqDs,after,loneliness,3,1
R_1jwyyqW3BkMXKqC,before,loneliness,1,2
R_1jwyyqW3BkMXKqC,before,loneliness,2,2
R_1jwyyqW3BkMXKqC,before,loneliness,3,3
R_1jwyyqW3BkMXKqC,after,loneliness,1,2
R_1jwyyqW3BkMXKqC,after,loneliness,2,2
R_1jwyyqW3BkMXKqC,after,loneliness,3,3
R_3Dhl5RDE5WPkhjZ,before,loneliness,1,1
R_3Dhl5RDE5WPkhjZ,before,loneliness,2,1
R_3Dhl5RDE5WPkhjZ,before,loneliness,3,1
R_3Dhl5RDE5WPkhjZ,after,loneliness,1,1
R_3Dhl5RDE5WPkhjZ,after,loneliness,2,1
R_3Dhl5RDE5WPkhjZ,after,loneliness,3,1
R_82Cae0gGCtZlvZD,before,loneliness,1,2
R_82Cae0gGCtZlvZD,before,loneliness,2,1
R_82Cae0gGCtZlvZD,before,loneliness,3,1
R_82Cae0gGCtZlvZD,after,loneliness,1,3
R_82Cae0gGCtZlvZD,after,loneliness,2,3
R_82Cae0gGCtZlvZD,after,loneliness,3,3
R_0Iq1QihJbkIZGG5,before,loneliness,1,2
R_0Iq1QihJbkIZGG5,before,loneliness,2,2
R_0Iq1QihJbkIZGG5,before,loneliness,3,2
R_0Iq1QihJbkIZGG5,after,loneliness,1,1
R_0Iq1QihJbkIZGG5,after,loneliness,2,1
R_0Iq1QihJbkIZGG5,after,loneliness,3,1
R_XYYWZaTga3BEXdL,before,loneliness,1,1
R_XYYWZaTga3BEXdL,before,loneliness,2,2
R_XYYWZaTga3BEXdL,before,loneliness,3,2
R_XYYWZaTga3BEXdL,after,loneliness,1,1
R_XYYWZaTga3BEXdL,after,loneliness,2,2
R_XYYWZaTga3BEXdL,after,loneliness,3,2
R_31BhgcJAtt4udIx,before,loneliness,1,2
R_31BhgcJAtt4udIx,before,loneliness,2,2
R_31BhgcJAtt4udIx,before,loneliness,3,3
R_31BhgcJAtt4udIx,after,loneliness,1,2
R_31BhgcJAtt4udIx,after,loneliness,2,3
R_31BhgcJAtt4udIx,after,loneliness,3,3
R_O22BvtbesSiM9H3,before,loneliness,1,2
R_O22BvtbesSiM9H3,before,loneliness,2,2
R_O22BvtbesSiM9H3,before,loneliness,3,2
R_O22BvtbesSiM9H3,after,loneliness,1,2
R_O22BvtbesSiM9H3,after,loneliness,2,3
R_O22BvtbesSiM9H3,after,loneliness,3,3
R_22Q9Iw4NYMriVYz,before,loneliness,1,1
R_22Q9Iw4NYMriVYz,before,loneliness,2,1
R_22Q9Iw4NYMriVYz,before,loneliness,3,1
R_22Q9Iw4NYMriVYz,after,loneliness,1,1
R_22Q9Iw4NYMriVYz,after,loneliness,2,1
R_22Q9Iw4NYMriVYz,after,loneliness,3,1
R_V213xJcCci8mpHj,before,loneliness,1,1
R_V213xJcCci8mpHj,before,loneliness,2,3
R_V213xJcCci8mpHj,before,loneliness,3,3
R_V213xJcCci8mpHj,after,loneliness,1,1
R_V213xJcCci8mpHj,after,loneliness,2,3
R_V213xJcCci8mpHj,after,loneliness,3,3
R_3QM1yoXPn1WIPIp,before,loneliness,1,2
R_3QM1yoXPn1WIPIp,before,loneliness,2,2
R_3QM1yoXPn1WIPIp,before,loneliness,3,2
R_3QM1yoXPn1WIPIp,after,loneliness,1,2
R_3QM1yoXPn1WIPIp,after,loneliness,2,2
R_3QM1yoXPn1WIPIp,after,loneliness,3,2
R_O9VAqYUDUshWv73,before,loneliness,1,1
R_O9VAqYUDUshWv73,before,loneliness,2,1
R_O9VAqYUDUshWv73,before,loneliness,3,2
R_O9VAqYUDUshWv73,after,loneliness,1,1
R_O9VAqYUDUshWv73,after,loneliness,2,1
R_O9VAqYUDUshWv73,after,loneliness,3,2
R_2ANDY1UL9QHh0bt,before,loneliness,1,1
R_2ANDY1UL9QHh0bt,before,loneliness,2,1
R_2ANDY1UL9QHh0bt,before,loneliness,3,2
R_2ANDY1UL9QHh0bt,after,loneliness,1,3
R_2ANDY1UL9QHh0bt,after,loneliness,2,1
R_2ANDY1UL9QHh0bt,after,loneliness,3,2
R_3PNeMMqpSuzFgK6,before,loneliness,1,1
R_3PNeMMqpSuzFgK6,before,loneliness,2,2
R_3PNeMMqpSuzFgK6,before,loneliness,3,2
R_3PNeMMqpSuzFgK6,after,loneliness,1,1
R_3PNeMMqpSuzFgK6,after,loneliness,2,1
R_3PNeMMqpSuzFgK6,after,loneliness,3,2
R_2fjoBMWdN1ICH1c,before,loneliness,1,2
R_2fjoBMWdN1ICH1c,before,loneliness,2,2
R_2fjoBMWdN1ICH1c,before,loneliness,3,3
R_2fjoBMWdN1ICH1c,after,loneliness,1,3
R_2fjoBMWdN1ICH1c,after,loneliness,2,3
R_2fjoBMWdN1ICH1c,after,loneliness,3,3
R_p59dkfQNljmhosh,before,loneliness,1,2
R_p59dkfQNljmhosh,before,loneliness,2,2
R_p59dkfQNljmhosh,before,loneliness,3,2
R_p59dkfQNljmhosh,after,loneliness,1,3
R_p59dkfQNljmhosh,after,loneliness,2,2
R_p59dkfQNljmhosh,after,loneliness,3,3
R_6nxz0eKfNc1cdKF,before,loneliness,1,2
R_6nxz0eKfNc1cdKF,before,loneliness,2,2
R_6nxz0eKfNc1cdKF,before,loneliness,3,2
R_6nxz0eKfNc1cdKF,after,loneliness,1,3
R_6nxz0eKfNc1cdKF,after,loneliness,2,3
R_6nxz0eKfNc1cdKF,after,loneliness,3,3
R_1Ghi9cuDLyS5Fvj,before,loneliness,1,3
R_1Ghi9cuDLyS5Fvj,before,loneliness,2,1
R_1Ghi9cuDLyS5Fvj,before,loneliness,3,3
R_1Ghi9cuDLyS5Fvj,after,loneliness,1,3
R_1Ghi9cuDLyS5Fvj,after,loneliness,2,2
R_1Ghi9cuDLyS5Fvj,after,loneliness,3,3
R_2ri38po4P4fnJtK,before,loneliness,1,2
R_2ri38po4P4fnJtK,before,loneliness,2,1
R_2ri38po4P4fnJtK,before,loneliness,3,2
R_2ri38po4P4fnJtK,after,loneliness,1,2
R_2ri38po4P4fnJtK,after,loneliness,2,1
R_2ri38po4P4fnJtK,after,loneliness,3,2
R_zSuKsNMuq2O2oA9,before,loneliness,1,2
R_zSuKsNMuq2O2oA9,before,loneliness,2,1
R_zSuKsNMuq2O2oA9,before,loneliness,3,2
R_zSuKsNMuq2O2oA9,after,loneliness,1,2
R_zSuKsNMuq2O2oA9,after,loneliness,2,1
R_zSuKsNMuq2O2oA9,after,loneliness,3,2
R_2Y3vSpPmQtCUg27,before,loneliness,1,3
R_2Y3vSpPmQtCUg27,before,loneliness,2,1
R_2Y3vSpPmQtCUg27,before,loneliness,3,2
R_2Y3vSpPmQtCUg27,after,loneliness,1,2
R_2Y3vSpPmQtCUg27,after,loneliness,2,1
R_2Y3vSpPmQtCUg27,after,loneliness,3,1
R_cTMYr4InmqWqxyx,before,loneliness,1,1
R_cTMYr4InmqWqxyx,before,loneliness,2,1
R_cTMYr4InmqWqxyx,before,loneliness,3,1
R_cTMYr4InmqWqxyx,after,loneliness,1,1
R_cTMYr4InmqWqxyx,after,loneliness,2,1
R_cTMYr4InmqWqxyx,after,loneliness,3,1
R_Ub92pGLz1xv4fbr,before,loneliness,1,2
R_Ub92pGLz1xv4fbr,before,loneliness,2,1
R_Ub92pGLz1xv4fbr,before,loneliness,3,2
R_Ub92pGLz1xv4fbr,after,loneliness,1,1
R_Ub92pGLz1xv4fbr,after,loneliness,2,1
R_Ub92pGLz1xv4fbr,after,loneliness,3,2
R_2WUWSPXQGpkoYiQ,before,loneliness,1,2
R_2WUWSPXQGpkoYiQ,before,loneliness,2,2
R_2WUWSPXQGpkoYiQ,before,loneliness,3,3
R_2WUWSPXQGpkoYiQ,after,loneliness,1,2
R_2WUWSPXQGpkoYiQ,after,loneliness,2,2
R_2WUWSPXQGpkoYiQ,after,loneliness,3,3
R_1GTWJReePx9Mt0Y,before,loneliness,1,2
R_1GTWJReePx9Mt0Y,before,loneliness,2,2
R_1GTWJReePx9Mt0Y,before,loneliness,3,2
R_1GTWJReePx9Mt0Y,after,loneliness,1,2
R_1GTWJReePx9Mt0Y,after,loneliness,2,2
R_1GTWJReePx9Mt0Y,after,loneliness,3,2
R_3HIxxqBts6Z0OZO,before,loneliness,1,2
R_3HIxxqBts6Z0OZO,before,loneliness,2,2
R_3HIxxqBts6Z0OZO,before,loneliness,3,2
R_3HIxxqBts6Z0OZO,after,loneliness,1,3
R_3HIxxqBts6Z0OZO,after,loneliness,2,2
R_3HIxxqBts6Z0OZO,after,loneliness,3,2
R_2VsTI6YcrvQkU00,before,loneliness,1,3
R_2VsTI6YcrvQkU00,before,loneliness,2,3
R_2VsTI6YcrvQkU00,before,loneliness,3,2
R_2VsTI6YcrvQkU00,after,loneliness,1,2
R_2VsTI6YcrvQkU00,after,loneliness,2,3
R_2VsTI6YcrvQkU00,after,loneliness,3,2
R_bl5z1a8F19q4rol,before,loneliness,1,2
R_bl5z1a8F19q4rol,before,loneliness,2,2
R_bl5z1a8F19q4rol,before,loneliness,3,2
R_bl5z1a8F19q4rol,after,loneliness,1,1
R_bl5z1a8F19q4rol,after,loneliness,2,1
R_bl5z1a8F19q4rol,after,loneliness,3,1
R_2riPjmHJ1ujE2AI,before,loneliness,1,2
R_2riPjmHJ1ujE2AI,before,loneliness,2,2
R_2riPjmHJ1ujE2AI,before,loneliness,3,2
R_2riPjmHJ1ujE2AI,after,loneliness,1,3
R_2riPjmHJ1ujE2AI,after,loneliness,2,3
R_2riPjmHJ1ujE2AI,after,loneliness,3,3
R_237akAEwp1ZNQtX,before,loneliness,1,1
R_237akAEwp1ZNQtX,before,loneliness,2,1
R_237akAEwp1ZNQtX,before,loneliness,3,2
R_237akAEwp1ZNQtX,after,loneliness,1,1
R_237akAEwp1ZNQtX,after,loneliness,2,1
R_237akAEwp1ZNQtX,after,loneliness,3,1
R_28YlGk4KWcNC1Hz,before,loneliness,1,3
R_28YlGk4KWcNC1Hz,before,loneliness,2,3
R_28YlGk4KWcNC1Hz,before,loneliness,3,3
R_28YlGk4KWcNC1Hz,after,loneliness,1,3
R_28YlGk4KWcNC1Hz,after,loneliness,2,3
R_28YlGk4KWcNC1Hz,after,loneliness,3,3
R_1l3QaBdaMZAzDNc,before,loneliness,1,2
R_1l3QaBdaMZAzDNc,before,loneliness,2,1
R_1l3QaBdaMZAzDNc,before,loneliness,3,2
R_1l3QaBdaMZAzDNc,after,loneliness,1,2
R_1l3QaBdaMZAzDNc,after,loneliness,2,1
R_1l3QaBdaMZAzDNc,after,loneliness,3,3
R_WkD2Xf1StVlY1k5,before,loneliness,1,2
R_WkD2Xf1StVlY1k5,before,loneliness,2,2
R_WkD2Xf1StVlY1k5,before,loneliness,3,3
R_WkD2Xf1StVlY1k5,after,loneliness,1,2
R_WkD2Xf1StVlY1k5,after,loneliness,2,3
R_WkD2Xf1StVlY1k5,after,loneliness,3,3
R_3e2GBC1tsXm5UH9,before,loneliness,1,1
R_3e2GBC1tsXm5UH9,before,loneliness,2,1
R_3e2GBC1tsXm5UH9,before,loneliness,3,1
R_3e2GBC1tsXm5UH9,after,loneliness,1,1
R_3e2GBC1tsXm5UH9,after,loneliness,2,1
R_3e2GBC1tsXm5UH9,after,loneliness,3,1
R_5A6WR2APgRZFueJ,before,loneliness,1,2
R_5A6WR2APgRZFueJ,before,loneliness,2,3
R_5A6WR2APgRZFueJ,before,loneliness,3,3
R_5A6WR2APgRZFueJ,after,loneliness,1,3
R_5A6WR2APgRZFueJ,after,loneliness,2,3
R_5A6WR2APgRZFueJ,after,loneliness,3,3
R_1OGOApUcrgQ9PDV,before,loneliness,1,2
R_1OGOApUcrgQ9PDV,before,loneliness,2,2
R_1OGOApUcrgQ9PDV,before,loneliness,3,3
R_1OGOApUcrgQ9PDV,after,loneliness,1,2
R_1OGOApUcrgQ9PDV,after,loneliness,2,2
R_1OGOApUcrgQ9PDV,after,loneliness,3,2
R_AFO5tTqn4Q8XmqB,before,loneliness,1,2
R_AFO5tTqn4Q8XmqB,before,loneliness,2,3
R_AFO5tTqn4Q8XmqB,before,loneliness,3,3
R_AFO5tTqn4Q8XmqB,after,loneliness,1,2
R_AFO5tTqn4Q8XmqB,after,loneliness,2,3
R_AFO5tTqn4Q8XmqB,after,loneliness,3,3
R_3fiMnltHW0VY7HP,before,loneliness,1,1
R_3fiMnltHW0VY7HP,before,loneliness,2,2
R_3fiMnltHW0VY7HP,before,loneliness,3,2
R_3fiMnltHW0VY7HP,after,loneliness,1,1
R_3fiMnltHW0VY7HP,after,loneliness,2,2
R_3fiMnltHW0VY7HP,after,loneliness,3,1
R_2qpx286lR9fjVMC,before,loneliness,1,2
R_2qpx286lR9fjVMC,before,loneliness,2,2
R_2qpx286lR9fjVMC,before,loneliness,3,2
R_2qpx286lR9fjVMC,after,loneliness,1,2
R_2qpx286lR9fjVMC,after,loneliness,2,2
R_2qpx286lR9fjVMC,after,loneliness,3,2
R_2fy7OLb5SO3rVpk,before,loneliness,1,1
R_2fy7OLb5SO3rVpk,before,loneliness,2,2
R_2fy7OLb5SO3rVpk,before,loneliness,3,2
R_2fy7OLb5SO3rVpk,after,loneliness,1,1
R_2fy7OLb5SO3rVpk,after,loneliness,2,3
R_2fy7OLb5SO3rVpk,after,loneliness,3,3
R_31RjR49IX1YOJ7y,before,loneliness,1,2
R_31RjR49IX1YOJ7y,before,loneliness,2,1
R_31RjR49IX1YOJ7y,before,loneliness,3,2
R_31RjR49IX1YOJ7y,after,loneliness,1,2
R_31RjR49IX1YOJ7y,after,loneliness,2,2
R_31RjR49IX1YOJ7y,after,loneliness,3,3
R_yl0OHDoTCu63b7b,before,loneliness,1,3
R_yl0OHDoTCu63b7b,before,loneliness,2,3
R_yl0OHDoTCu63b7b,before,loneliness,3,3
R_yl0OHDoTCu63b7b,after,loneliness,1,3
R_yl0OHDoTCu63b7b,after,loneliness,2,3
R_yl0OHDoTCu63b7b,after,loneliness,3,3
R_8vUJrorD6qPhNCh,before,loneliness,1,2
R_8vUJrorD6qPhNCh,before,loneliness,2,1
R_8vUJrorD6qPhNCh,before,loneliness,3,1
R_8vUJrorD6qPhNCh,after,loneliness,1,1
R_8vUJrorD6qPhNCh,after,loneliness,2,1
R_8vUJrorD6qPhNCh,after,loneliness,3,1
R_Wrr9h9YwjeBoNpf,before,loneliness,1,2
R_Wrr9h9YwjeBoNpf,before,loneliness,2,1
R_Wrr9h9YwjeBoNpf,before,loneliness,3,2
R_Wrr9h9YwjeBoNpf,after,loneliness,1,2
R_Wrr9h9YwjeBoNpf,after,loneliness,2,1
R_Wrr9h9YwjeBoNpf,after,loneliness,3,2
R_SDnvXDdPlMdrs9r,before,loneliness,1,2
R_SDnvXDdPlMdrs9r,before,loneliness,2,2
R_SDnvXDdPlMdrs9r,before,loneliness,3,3
R_SDnvXDdPlMdrs9r,after,loneliness,1,1
R_SDnvXDdPlMdrs9r,after,loneliness,2,1
R_SDnvXDdPlMdrs9r,after,loneliness,3,2
