response_id,amotivation_during,amotivation_before,external_regulation_during,external_regulation_before,identified_regulation_during,identified_regulation_before,instrinsic_motivation_during,instrinsic_motivation_before,integrated_regulation_during,integrated_regulation_before,introjected_regulation_during,introjected_regulation_before
R_1ls2eVKvEiK6S4N,8,6,22,20,26,26,22,24,26,24,10,16
R_1M3DvETU5JOu5b0,6,12,6,18,6,20,26,26,6,20,6,14
R_1M5w3AllKLTG9vr,14,12,36,36,26,28,36,32,36,32,24,18
R_1mEDv9S4U18sxZe,6,8,24,12,24,26,26,26,18,14,12,8
R_1mIvz4scUnVKLx7,6,6,14,14,12,22,20,20,14,22,6,8
R_1mmJ4ZOT1aKUnz7,34,12,12,18,34,20,18,26,22,20,12,14
R_1MXmVmetdFpHiB4,12,6,10,6,6,6,30,10,6,6,14,6
R_1N9O72YdQ4GZFDi,6,6,18,20,24,26,28,26,24,24,14,14
R_1N9QWsuqE4dwJj0,6,6,26,26,36,36,36,36,28,36,6,8
R_1Nady9hvbIvDcLg,18,16,36,30,14,10,30,18,24,18,30,26
R_1NfE7qpbaFYk306,6,8,18,26,18,14,20,26,16,18,14,14
R_1NmQkOcQT42agWF,18,16,26,30,24,26,20,26,16,22,12,8
R_1nSWaU6aHeoCVz1,6,6,24,22,6,8,24,26,6,12,6,6
R_1oCk4T1oiygv2K1,10,8,26,30,8,10,28,32,10,16,6,10
R_1OIk0siawnKDTiy,6,6,20,12,14,14,22,24,10,12,14,6
R_1OVLo23ZSViJv0e,10,18,16,12,6,6,16,18,6,6,8,6
R_1Ow1FDuzbwtWStS,6,6,20,22,36,36,34,34,34,34,6,10
R_1PYHLXLRtVtLKCC,6,10,28,24,14,20,24,20,20,26,10,10
R_1pYYllRKHfnN46F,6,8,10,10,18,18,34,34,6,10,10,6
R_1q9BHkV242D62cG,6,6,32,30,6,6,34,32,6,12,8,6
R_1QfJ0V1q7quecwG,16,18,22,20,22,24,24,26,22,20,18,18
R_1riU7KvjYAwtXJE,12,12,22,18,20,20,26,26,18,20,14,14
R_20NVUurOXIj6JN6,6,6,26,24,36,36,36,28,36,36,12,6
R_217aRM2HjOL4rwC,6,6,18,18,20,22,26,32,18,20,6,6
R_21mMIqW3mCkwgHy,6,12,6,18,12,20,26,26,10,20,6,14
R_21vy4qSSLUBhkI5,6,6,20,14,24,22,26,24,16,20,6,8
R_23Ulx9Mu6ClxGOJ,12,6,12,12,18,20,22,20,10,20,10,8
R_246tBSBZyx6fChw,12,12,22,18,20,20,26,26,18,20,14,14
R_24isskypHAzj6a4,6,6,24,20,22,20,26,36,14,20,30,16
R_25z3VIIwpNMoGjS,8,10,22,24,26,28,28,26,26,20,8,12
R_27D28zcmps8GRka,16,18,12,14,14,10,24,26,18,14,22,18
R_27ExcEAbe7WWZAY,24,10,6,6,26,26,14,18,28,22,18,24
R_28NVjdZPvV2fLBs,6,12,36,36,36,36,36,32,36,36,36,28
R_2947NV0sa0o6uqa,6,6,20,10,20,16,26,24,26,24,6,6
R_29gj9i4nykxouwi,16,10,6,6,12,16,18,32,10,16,6,6
R_29sTVuZYJRxiKzv,6,6,18,18,12,18,32,34,30,28,6,6
R_2aM58IL6PRjl31M,8,8,30,28,26,24,30,32,18,22,16,12
R_2ARphcLKbG8pCbs,8,10,8,6,6,6,12,10,6,6,6,8
R_2B4II5QqOBTuBsc,6,6,32,22,34,16,28,20,22,24,24,12
R_2bVGOK2omxjKHpn,6,6,6,6,6,6,18,20,6,6,6,6
R_2CB7Tu6CfOt3tUN,36,6,36,36,36,30,36,36,36,36,36,24
R_2cd59QR5hZHKBZT,8,28,26,12,12,8,30,26,18,10,8,24
R_2cdROg831T1vhEC,6,14,14,18,26,22,18,28,18,18,10,12
R_2Clwma6pSIEIvrW,6,6,22,10,6,6,20,28,6,10,14,6
R_2CTWdkSw6ViCuJq,12,26,22,30,20,24,26,32,18,24,14,8
R_2cvas4XCHYE6Kkz,12,6,22,26,20,22,26,16,18,24,14,14
R_2CvKeTojbEMdWFy,6,8,18,18,12,22,30,28,26,22,12,16
R_2dQRwob8W5KZXgY,30,26,30,24,30,26,30,28,30,26,30,26
R_2DUjHNE8XFxwngK,12,12,22,18,20,20,26,26,18,20,14,14
R_2DZSUz54Rl39uyo,12,14,14,20,18,20,16,22,20,22,20,16
R_2e2R7LJzpLYQiWW,6,6,8,8,12,10,16,18,14,8,16,12
R_2E4NIJT672CNqhY,8,6,24,24,20,30,30,36,26,30,8,12
R_2e9aZobX5Mrf2mF,6,12,8,10,14,16,18,24,22,26,24,24
R_2f82SUumXJ91Tm8,6,8,22,24,18,18,26,24,30,30,14,12
R_2fIesR987yHKjDw,10,10,14,10,20,22,22,24,26,28,18,16
R_2fvruv9ZivyF7o5,6,6,30,26,28,24,34,36,30,26,12,10
R_2fvUAwVkhV1ypOM,18,6,12,18,10,10,12,20,6,14,6,18
R_2OPDHtEfJyTCxsv,26,10,24,16,18,20,24,28,24,26,14,26
R_2OYGHuXGBqkz2JB,6,10,26,26,22,22,26,24,20,20,16,12
R_2QJLcvGH3VwNmlZ,34,12,18,18,6,20,6,26,6,20,6,14
R_2QlDr5bgON19Dbf,6,12,28,18,6,20,14,26,6,20,6,14
R_2qrC4O6fVkjwiry,6,6,26,22,14,10,30,34,24,26,6,6
R_2QzW5HTDKSQoIdW,6,8,10,6,6,18,28,28,16,24,8,12
R_2R97eLv3ogd7F2s,6,8,24,26,14,16,26,32,18,18,10,10
R_2rhWa2106Du6K5T,12,6,34,24,36,36,32,32,32,36,16,22
R_2rPjSQLcIC8CDty,6,6,34,26,26,30,36,30,30,32,20,18
R_2rZRXqFfn0ikBOS,6,6,16,16,32,34,28,30,36,32,8,12
R_2SeikFcu2AS9w7X,8,8,26,24,24,20,30,28,26,26,14,12
R_2SH3IlYMix1JYmN,8,10,14,14,14,16,24,24,36,36,8,8
R_2Sq2mphrvRDkWOh,6,10,12,6,10,8,20,20,12,10,8,8
R_2SvQK62v9Z0NpaC,12,12,20,18,20,20,32,26,14,20,18,14
R_2SwMBZLcD2f52ij,16,12,14,12,14,22,36,34,30,18,14,24
R_2TBpq77Wwtwqrfh,10,12,26,18,20,20,28,26,24,20,8,14
R_2TG0VS1cyTZTOII,6,6,24,26,12,16,18,20,18,20,10,14
R_2tJtUaHMu03QTQ1,16,20,36,36,26,26,36,34,26,28,28,28
R_2tqUYhzsg6ITwD1,26,20,22,24,32,28,26,28,26,28,32,30
R_2trlnajiLWtBHVS,6,18,14,16,6,12,22,24,6,14,6,12
R_2TSJxMqN9gOlUOV,6,6,26,26,10,12,28,26,14,16,6,6
R_2UVJlgmzYG5Xn9P,6,6,26,28,30,22,28,26,24,18,26,14
R_2VkJBjNuuyAttyZ,6,6,28,28,26,28,30,30,22,30,12,22
R_2vZKXOkrXwQOPM0,12,14,20,18,28,18,28,30,26,22,28,14
R_2wmnaQBPNB7V2gM,6,6,20,16,6,16,22,18,18,28,6,6
R_2XcEmd1YzcIXw1Y,10,14,30,28,24,20,24,24,20,20,20,16
R_2xY2K6LH7A68nB1,6,12,6,18,22,20,22,26,24,20,16,14
R_2YJKbEV4DDO8Lc0,6,6,28,26,6,16,24,26,8,10,6,6
R_2yk1CSC8mwjjLGP,14,12,30,30,36,28,36,34,20,20,16,10
R_2yrXHzzzgNeI0Ry,6,6,6,10,30,28,30,26,32,30,6,6
R_2YyK6503UwmpO2W,10,8,8,10,8,6,12,16,8,6,6,6
R_2YyT0OjStuntyXf,24,20,26,28,22,24,28,30,24,24,28,26
R_2zBXAI5qUYmV4DB,6,6,26,26,28,28,26,26,30,32,12,12
R_2zUqq1urUzBGq6C,6,6,30,26,28,16,30,30,20,20,10,14
R_30uRCB7vSqjK8Tf,6,8,32,20,30,36,34,20,36,36,20,6
R_31LSyq6W3sTmpY5,6,12,24,26,22,22,30,30,22,24,12,10
R_31uPOPILKqOF5Z3,6,12,16,18,16,20,28,26,10,20,12,14
R_3259jqnrUhcJUgT,20,12,6,18,6,20,12,26,6,20,6,14
R_333VdNEK4f8Xyui,22,12,6,18,6,20,6,26,6,20,6,14
R_33ElcIgec3OQYlt,6,10,12,6,24,18,32,26,20,26,10,10
R_33m18XGfnq4Vj9o,6,6,6,6,12,12,18,18,6,12,6,6
R_3asqcGii6ulHk9X,6,6,6,6,16,18,24,32,30,32,16,24
R_3CJmLr5kxXIjcgY,8,6,36,36,16,12,32,10,6,14,10,14
R_3D7xVjOEj7lRX1u,10,12,8,18,6,20,16,26,6,20,8,14
R_3DcJPhdo2DHBes3,6,6,6,6,8,8,12,14,8,10,6,6
R_3dEN30zDtOpYP25,30,12,18,18,6,20,12,26,6,20,8,14
R_3e1VGffpt89tw8h,36,36,14,16,10,16,26,18,16,26,6,24
R_3efCQahFkiEWLUo,6,6,24,20,18,18,32,36,22,20,20,18
R_3EjaJDRhLy9xsUT,6,6,28,28,24,20,36,36,36,36,20,22
R_3EtZJ865VyxA1dS,6,6,26,22,24,26,30,24,10,16,16,8
R_3fTa3QYnPZpSeen,8,12,32,18,18,20,28,26,14,20,12,14
R_3G0VtsBQfB5T8jI,6,6,18,12,8,6,22,22,6,6,6,6
R_3Gg2Ve4XnzJBPL1,18,12,30,28,22,28,26,26,30,26,30,28
R_3gLfJnM7hmP4b0g,6,8,12,14,22,22,28,28,34,34,14,18
R_3gYE1Oyb2ecCXAO,6,6,6,6,6,12,12,14,12,12,6,6
R_3h0zYlV2nMlsjkp,12,12,22,24,20,22,26,30,18,18,14,12
R_3hEAA1sGTLuhlZP,6,6,22,16,24,16,30,34,20,12,18,16
R_3HpP9AcM8KfmlN5,6,8,18,18,16,18,22,24,12,16,6,6
R_3HS9n2GsIIHkDkT,8,12,16,20,18,18,22,30,8,12,14,14
R_3hywX9R1oSIynmb,6,6,18,12,28,24,34,14,14,10,12,6
R_3iWtUWUbIxPab5K,6,10,26,24,16,10,22,30,6,6,6,6
R_3JecnAA27cFGR9J,6,12,26,16,22,24,26,22,32,28,20,16
R_3jV6I52yPFAZ8oy,6,6,14,12,14,14,24,24,18,18,20,16
R_3KCvZebmGxmSVat,18,34,28,22,8,8,12,20,10,6,18,12
R_3koLHqG1bLK3yy5,10,14,10,10,6,8,8,18,6,6,8,8
R_3lxovCWhEaeqaCs,6,14,12,14,28,32,20,24,36,36,12,12
R_3LXrDOSOEDocie5,12,12,32,18,18,20,34,26,24,20,26,14
R_3m4gEtF4OFDZWgM,16,14,20,22,26,28,32,34,26,32,18,24
R_3M4IeaDW99mC9dK,6,6,34,18,34,32,22,22,22,22,6,8
R_3MRUJRa1S8L3skj,12,12,22,16,20,22,26,22,18,18,14,12
R_3n2iadGDdM5zQ7k,6,6,22,22,6,6,28,24,10,8,6,10
R_3ne0xvsnUk3Dg2b,6,6,14,10,28,24,26,20,26,24,22,24
R_3nkCL8JrVmutsy2,18,36,36,36,12,20,36,36,6,18,14,36
R_3O0Oame9dqBbP5b,6,14,12,8,12,10,26,28,6,8,6,8
R_3OEuDPyfhuyKTkd,6,22,36,36,30,26,36,36,36,32,28,26
R_3oQRoNnZNzfXRdA,20,12,22,18,24,20,32,26,22,20,12,14
R_3PAINhZstYwZKnG,6,6,12,10,28,30,14,10,18,20,6,6
R_3pajSVQnjGXyVpt,8,10,14,16,20,22,20,24,18,30,6,6
R_3PjYxPdMelfAuAx,14,8,18,22,26,30,22,28,32,34,20,16
R_3qyQeKqDkX0mMPk,12,12,22,18,20,20,26,26,18,20,14,14
R_3sAOu08DzJCbsCx,12,12,22,18,20,20,26,26,18,20,14,14
R_3scUafsIK61edPZ,6,8,28,24,22,18,34,32,28,22,24,6
R_3VJUdRxHSSY9KRH,6,6,18,14,14,14,28,26,10,14,6,6
R_54O3tQvET3fkQAV,18,18,20,24,20,20,20,20,20,20,20,20
R_6kZae0087zktvOx,6,6,28,28,10,8,16,24,6,6,6,6
R_6rhaURmMWIpWVwd,6,12,22,18,16,20,26,26,16,20,14,14
R_8jHHv1qsC7vCAz7,6,6,20,12,30,28,24,24,32,32,8,10
R_9Z70MwcyCsPC9X3,36,32,16,24,20,12,16,22,22,26,24,20
R_A5JYMcChIUBrgWJ,6,6,22,22,6,8,12,16,6,6,6,6
R_b25c1SzzqBXhNlf,6,6,20,26,26,30,32,28,20,28,6,24
R_b3OqdK3QYKKuHYd,6,12,30,28,26,24,30,24,24,24,12,12
R_BDGcUeEGjSpIacN,20,14,20,20,24,24,30,26,26,28,24,24
R_BPqFXh1wkgyB1Tz,8,12,24,20,8,12,28,22,6,12,10,14
R_brWqcjWNLR2SR6p,6,6,22,16,12,14,28,20,6,6,10,6
R_BSsMj7rx2Tnixot,10,12,30,26,12,18,32,32,24,28,10,6
R_BueCPimsWc9Utd7,6,6,20,22,8,6,24,26,12,14,8,6
R_cTISqj1k1d4BAOd,30,26,30,26,30,20,28,24,30,24,30,18
R_DejQ8cSCeZ4rekp,6,6,28,24,32,30,32,26,32,28,28,24
R_Oju76sshryv7YAh,20,26,22,20,8,6,10,14,6,12,10,6
R_OP7imJenh3QEzHr,36,24,26,6,10,14,20,24,12,14,22,20
R_OPvs1zUpPEvZoEp,8,8,26,26,16,18,24,26,12,18,8,16
R_p5CA0SZn571DSEN,10,12,18,12,12,10,20,22,10,10,6,6
R_piX57LSmaReTby1,6,6,26,22,24,22,30,32,24,22,16,18
R_pJBqW9a6blfxMnn,6,6,20,20,10,14,16,14,12,12,6,6
R_R80uXkBmWsWOzfP,6,6,6,14,14,28,22,26,16,24,6,8
R_RePvY6Xpy9N1z45,26,28,22,26,36,30,26,28,26,22,28,24
R_RLcbhnqjnjLiaVX,12,12,18,26,12,6,24,20,6,6,6,6
R_RzB3YPB2gpL3ylr,6,6,24,10,20,22,26,24,24,26,10,8
R_SBupPeUb0kJ7NJL,6,6,20,20,16,16,36,26,20,22,6,6
R_SIf4380kHiu7wAh,28,22,6,6,6,6,6,14,6,6,6,6
R_SOViMCN9d7ybO8h,6,8,14,12,12,18,28,26,14,12,8,6
R_SUcU46CryPkShsR,6,8,24,20,20,20,18,14,20,20,8,8
R_UoPiHE2v8sEVOJb,12,18,12,14,22,22,24,20,22,26,16,14
R_upLgg7PndxOE2Vr,6,6,32,28,6,8,20,20,6,6,6,6
R_UtoTopbBz0tqPqp,6,6,6,18,30,36,36,36,26,32,6,16
R_UuOGjA6wOYIRHUt,18,10,30,30,30,30,28,30,30,30,28,28
R_WerDtRBiVK6hlnP,32,20,10,28,28,24,24,30,22,28,32,34
R_WxPm6DIjeTENfxv,6,6,14,14,6,6,26,22,6,6,6,6
R_Xjm191b0NxVNvbz,12,12,16,16,14,12,18,18,16,12,12,12
R_Xzj8CbUZRnKEBKV,6,14,6,28,6,6,6,16,6,14,6,6
R_ykakyVymnlCDlQZ,12,12,22,18,20,20,26,26,18,20,14,14
R_z7JR0f6BK2Ps1i1,6,6,18,20,22,24,28,32,26,26,16,12
R_Zgzav0hvyZ96c6d,6,6,14,14,30,32,20,22,24,20,12,14
R_ZmHvxJewc1RDEfT,6,6,12,14,6,12,18,18,10,6,6,6
R_Zrj2VRi2kmSoAoN,12,8,6,10,22,28,24,28,10,16,6,6
R_ZxG3FMCz1l6uJd7,6,6,24,24,6,20,12,26,8,12,14,8
