response_id,loneliness_before,loneliness_after
R_2wmnaQBPNB7V2gM,6,6
R_2XcEmd1YzcIXw1Y,5,4
R_2xY2K6LH7A68nB1,5,7
R_2YJKbEV4DDO8Lc0,6,8
R_2yk1CSC8mwjjLGP,7,4
R_2yrXHzzzgNeI0Ry,3,3
R_2YyK6503UwmpO2W,4,4
R_2YyT0OjStuntyXf,9,9
R_2zBXAI5qUYmV4DB,6,5
R_2zUqq1urUzBGq6C,5,5
R_30uRCB7vSqjK8Tf,7,6
R_31LSyq6W3sTmpY5,9,7
R_31uPOPILKqOF5Z3,6,9
R_3259jqnrUhcJUgT,3,5
R_333VdNEK4f8Xyui,4,6
R_33ElcIgec3OQYlt,7,9
R_33m18XGfnq4Vj9o,4,4
R_3asqcGii6ulHk9X,3,5
R_3CJmLr5kxXIjcgY,5,6
R_3D7xVjOEj7lRX1u,4,7
R_3DcJPhdo2DHBes3,7,7
R_3dEN30zDtOpYP25,3,3
R_3e1VGffpt89tw8h,7,9
R_3efCQahFkiEWLUo,4,5
R_3EjaJDRhLy9xsUT,5,7
R_3EtZJ865VyxA1dS,3,7
R_3fTa3QYnPZpSeen,7,5
R_3G0VtsBQfB5T8jI,3,3
R_3Gg2Ve4XnzJBPL1,7,7
R_3gLfJnM7hmP4b0g,3,3
R_3gYE1Oyb2ecCXAO,3,4
R_3h0zYlV2nMlsjkp,7,6
R_3hEAA1sGTLuhlZP,3,9
R_3HpP9AcM8KfmlN5,6,7
R_3HS9n2GsIIHkDkT,3,3
R_3hywX9R1oSIynmb,5,8
R_3iWtUWUbIxPab5K,6,7
R_3JecnAA27cFGR9J,3,4
R_3jV6I52yPFAZ8oy,6,6
R_3KCvZebmGxmSVat,5,5
R_3koLHqG1bLK3yy5,6,6
R_3lxovCWhEaeqaCs,7,8
R_3LXrDOSOEDocie5,4,5
R_3m4gEtF4OFDZWgM,3,3
R_3M4IeaDW99mC9dK,7,6
R_3MRUJRa1S8L3skj,9,9
R_3n2iadGDdM5zQ7k,3,4
R_3ne0xvsnUk3Dg2b,3,8
R_3nkCL8JrVmutsy2,7,4
R_3O0Oame9dqBbP5b,4,4
R_3OEuDPyfhuyKTkd,3,3
R_3oQRoNnZNzfXRdA,9,9
R_3PAINhZstYwZKnG,6,6
R_3pajSVQnjGXyVpt,7,7
R_3PjYxPdMelfAuAx,9,9
R_3qyQeKqDkX0mMPk,4,4
R_3sAOu08DzJCbsCx,3,3
R_3scUafsIK61edPZ,3,7
R_3VJUdRxHSSY9KRH,6,6
R_54O3tQvET3fkQAV,6,7
R_6kZae0087zktvOx,5,5
R_6rhaURmMWIpWVwd,6,8
R_8jHHv1qsC7vCAz7,3,4
R_9Z70MwcyCsPC9X3,6,7
R_A5JYMcChIUBrgWJ,5,5
R_b25c1SzzqBXhNlf,9,9
R_b3OqdK3QYKKuHYd,6,5
R_BDGcUeEGjSpIacN,6,9
R_BPqFXh1wkgyB1Tz,8,9
R_brWqcjWNLR2SR6p,3,6
R_BSsMj7rx2Tnixot,5,5
R_BueCPimsWc9Utd7,4,3
R_cTISqj1k1d4BAOd,4,3
R_DejQ8cSCeZ4rekp,7,9
R_Oju76sshryv7YAh,5,7
R_OP7imJenh3QEzHr,9,9
R_OPvs1zUpPEvZoEp,3,3
R_p5CA0SZn571DSEN,4,6
R_piX57LSmaReTby1,4,4
R_pJBqW9a6blfxMnn,5,6
R_R80uXkBmWsWOzfP,3,3
R_RePvY6Xpy9N1z45,8,8
R_RLcbhnqjnjLiaVX,3,4
R_RzB3YPB2gpL3ylr,3,3
R_SBupPeUb0kJ7NJL,3,6
R_SIf4380kHiu7wAh,6,6
R_SOViMCN9d7ybO8h,5,5
R_SUcU46CryPkShsR,6,8
R_UoPiHE2v8sEVOJb,7,9
R_upLgg7PndxOE2Vr,5,3
R_UtoTopbBz0tqPqp,4,6
R_UuOGjA6wOYIRHUt,6,7
R_WerDtRBiVK6hlnP,6,8
R_WxPm6DIjeTENfxv,4,6
R_Xjm191b0NxVNvbz,6,8
R_Xzj8CbUZRnKEBKV,8,8
R_ykakyVymnlCDlQZ,3,5
R_z7JR0f6BK2Ps1i1,5,5
R_Zgzav0hvyZ96c6d,6,7
R_ZmHvxJewc1RDEfT,4,3
R_Zrj2VRi2kmSoAoN,7,8
R_ZxG3FMCz1l6uJd7,6,6
