response_id,regularly_play_during,regularly_play_before,total_hours_played_during,total_hours_played_before
R_BDGcUeEGjSpIacN,yes,yes,40,10
R_3lxovCWhEaeqaCs,yes,yes,16,30
R_1N9O72YdQ4GZFDi,yes,yes,40,48
R_brWqcjWNLR2SR6p,yes,yes,35,25
R_1HbCUjufNKWfBV4,yes,yes,15.75,35
R_OP7imJenh3QEzHr,yes,yes,51,13
R_1mmJ4ZOT1aKUnz7,yes,no,90,0
R_2YJKbEV4DDO8Lc0,yes,yes,15,20
R_1FmqwzhhGgMovg2,yes,no,30,0
R_6kZae0087zktvOx,yes,yes,30,15
R_24isskypHAzj6a4,yes,yes,40,8
R_b25c1SzzqBXhNlf,yes,yes,46,30
R_1nSWaU6aHeoCVz1,yes,yes,15,2
R_2XcEmd1YzcIXw1Y,yes,yes,30,0
R_3KCvZebmGxmSVat,yes,yes,28,42
R_2TSJxMqN9gOlUOV,yes,yes,50,36
R_3jV6I52yPFAZ8oy,yes,yes,31,27
R_1E5vpihv0BCn2Jo,yes,yes,40,31
R_2UVJlgmzYG5Xn9P,yes,yes,0,0
R_3asqcGii6ulHk9X,yes,yes,30,13
R_2947NV0sa0o6uqa,yes,yes,75,30
R_1Nady9hvbIvDcLg,yes,yes,30,21
R_1N9QWsuqE4dwJj0,yes,yes,0,50
R_SIf4380kHiu7wAh,yes,yes,6,11
R_217aRM2HjOL4rwC,yes,yes,0,15
R_1DtGqgKOtlhl4vS,yes,yes,60,75
R_2DUjHNE8XFxwngK,no,no,0,0
R_3MRUJRa1S8L3skj,no,yes,0,15
R_UuOGjA6wOYIRHUt,yes,yes,80,40
R_1eqNc6OUIYqj3s8,yes,yes,64,40
R_3koLHqG1bLK3yy5,yes,yes,30,8
R_2qrC4O6fVkjwiry,yes,yes,5,20
R_31uPOPILKqOF5Z3,yes,no,10,0
R_ZxG3FMCz1l6uJd7,yes,yes,7,9
R_SUcU46CryPkShsR,yes,yes,55,40
R_1cSrZsKJbMLVpfn,yes,yes,35,10
R_3e1VGffpt89tw8h,yes,yes,45,25
R_25z3VIIwpNMoGjS,yes,yes,34,25
R_3pajSVQnjGXyVpt,yes,yes,45,8
R_2TG0VS1cyTZTOII,yes,yes,15,10
R_3fTa3QYnPZpSeen,yes,no,0,0
R_2vZKXOkrXwQOPM0,yes,yes,40,35
R_1OIk0siawnKDTiy,yes,yes,50,20
R_1mIvz4scUnVKLx7,yes,yes,8,5
R_Zrj2VRi2kmSoAoN,yes,yes,22,13
R_WxPm6DIjeTENfxv,yes,yes,38,30
R_2yk1CSC8mwjjLGP,yes,yes,0,0
R_3O0Oame9dqBbP5b,yes,yes,10,2
R_DejQ8cSCeZ4rekp,yes,yes,40,30
R_1GPMTpTMgSvK0K5,yes,yes,0,0
R_1OVLo23ZSViJv0e,yes,yes,14,8
R_27D28zcmps8GRka,yes,yes,23,20
R_1isdeJ0akLVA05z,yes,yes,35,35
R_3n2iadGDdM5zQ7k,yes,yes,38,30
R_3scUafsIK61edPZ,yes,yes,60,20
R_29gj9i4nykxouwi,yes,yes,20,6
R_3HS9n2GsIIHkDkT,yes,yes,15,15
R_2YyK6503UwmpO2W,yes,yes,10,8
R_2OYGHuXGBqkz2JB,yes,yes,77,35
R_2E4NIJT672CNqhY,yes,yes,6,14.000000000000002
R_BPqFXh1wkgyB1Tz,yes,yes,25,10
R_3m4gEtF4OFDZWgM,yes,yes,10,8
R_1jf9Sx7JAoAu6dB,yes,yes,40,20
R_10TobIjLKGhA3cQ,yes,yes,15,15
R_1oCk4T1oiygv2K1,yes,yes,0,0
R_3oQRoNnZNzfXRdA,yes,no,50,0
R_2OPDHtEfJyTCxsv,yes,yes,45,35
R_3dEN30zDtOpYP25,yes,no,0,0
R_2rhWa2106Du6K5T,yes,yes,0,43.199999999999996
R_29sTVuZYJRxiKzv,yes,yes,21,8
R_1E0SL2RcGCHB4YG,yes,no,24,0
R_2CTWdkSw6ViCuJq,yes,yes,32,14.000000000000002
R_111rjgTikYEbPtb,yes,yes,80,20
R_1IFBVZISRpLTJit,yes,yes,0,0
R_2zUqq1urUzBGq6C,yes,yes,24,24
R_ykakyVymnlCDlQZ,no,no,0,0
R_pJBqW9a6blfxMnn,yes,yes,35,11.999999999999998
R_2aM58IL6PRjl31M,yes,yes,55,27.000000000000004
R_BSsMj7rx2Tnixot,yes,yes,25,27
R_2SeikFcu2AS9w7X,yes,yes,22,20
R_2e9aZobX5Mrf2mF,yes,yes,89,60
R_SOViMCN9d7ybO8h,yes,yes,60,20
R_3CJmLr5kxXIjcgY,yes,yes,0,0
R_1llE7wmaJfKwhMv,yes,no,32,0
R_3M4IeaDW99mC9dK,yes,yes,43,30
R_3hEAA1sGTLuhlZP,yes,yes,40,21
R_2xY2K6LH7A68nB1,yes,no,7.000000000000001,0
R_1Ka3YhFFxRPhu6A,yes,yes,70,30
R_1jptKS7BPpIT1cD,yes,yes,30,30
R_2trlnajiLWtBHVS,yes,yes,16,5
R_3JecnAA27cFGR9J,yes,yes,30,16
R_2yrXHzzzgNeI0Ry,yes,yes,70,60
R_1KlistIPWgoY83s,yes,no,21,0
R_2R97eLv3ogd7F2s,yes,yes,40,40
R_31LSyq6W3sTmpY5,yes,yes,50,40
R_2SH3IlYMix1JYmN,yes,yes,10,2
R_1jkddLsj0iUCBlG,yes,yes,18,6
R_UtoTopbBz0tqPqp,yes,yes,70,30
R_21mMIqW3mCkwgHy,yes,no,10,0
R_Xzj8CbUZRnKEBKV,yes,yes,0,30
R_ZmHvxJewc1RDEfT,yes,yes,55,25
