response_id,lockdown_period,regularly_play,total_hours_played
R_2zMWZPoTl4gnah2,before,yes,5
R_2zMWZPoTl4gnah2,after,yes,4
R_325eUWTIGcn1611,before,yes,50
R_325eUWTIGcn1611,after,yes,60
R_2f3rm3GgNbp4CRq,before,yes,103
R_2f3rm3GgNbp4CRq,after,yes,78
R_3j2oWZoAEr1njjz,before,yes,18
R_3j2oWZoAEr1njjz,after,yes,19
R_TemVHsV6Me3tByp,before,yes,72
R_TemVHsV6Me3tByp,after,yes,66
R_3JKlZpSiIyeDuwv,before,yes,25
R_3JKlZpSiIyeDuwv,after,yes,105
