response_id,loneliness_before,loneliness_after
R_54O3tQvET3fkQAV,6,7
R_6kZae0087zktvOx,5,5
R_8jHHv1qsC7vCAz7,3,4
R_9Z70MwcyCsPC9X3,6,7
R_b25c1SzzqBXhNlf,9,9
R_b3OqdK3QYKKuHYd,6,5
R_BDGcUeEGjSpIacN,6,9
R_BPqFXh1wkgyB1Tz,8,9
R_brWqcjWNLR2SR6p,3,6
R_BSsMj7rx2Tnixot,5,5
R_BueCPimsWc9Utd7,4,3
R_DejQ8cSCeZ4rekp,7,9
R_Oju76sshryv7YAh,5,7
R_OP7imJenh3QEzHr,9,9
R_OPvs1zUpPEvZoEp,3,3
R_p5CA0SZn571DSEN,4,6
R_piX57LSmaReTby1,4,4
R_pJBqW9a6blfxMnn,5,6
R_R80uXkBmWsWOzfP,3,3
R_RLcbhnqjnjLiaVX,3,4
R_RzB3YPB2gpL3ylr,3,3
R_SBupPeUb0kJ7NJL,3,6
R_SIf4380kHiu7wAh,6,6
R_SOViMCN9d7ybO8h,5,5
R_SUcU46CryPkShsR,6,8
R_UoPiHE2v8sEVOJb,7,9
R_upLgg7PndxOE2Vr,5,3
R_UtoTopbBz0tqPqp,4,6
R_UuOGjA6wOYIRHUt,6,7
R_WerDtRBiVK6hlnP,6,8
R_WxPm6DIjeTENfxv,4,6
R_Xjm191b0NxVNvbz,6,8
R_z7JR0f6BK2Ps1i1,5,5
R_Zgzav0hvyZ96c6d,6,7
R_ZmHvxJewc1RDEfT,4,3
R_Zrj2VRi2kmSoAoN,7,8
R_ZxG3FMCz1l6uJd7,6,6
