response_id,game,lockdown_period,hours,regularly_play,single_multi
R_upLgg7PndxOE2Vr,1,during,7,yes,alone
R_upLgg7PndxOE2Vr,2,during,0,yes,NA
R_upLgg7PndxOE2Vr,3,during,3.5,yes,multiplayer
R_upLgg7PndxOE2Vr,4,during,24.5,yes,multiplayer
R_upLgg7PndxOE2Vr,5,during,0,yes,NA
R_upLgg7PndxOE2Vr,6,during,0,yes,NA
R_upLgg7PndxOE2Vr,7,during,0,yes,NA
R_upLgg7PndxOE2Vr,8,during,0,yes,alone
R_upLgg7PndxOE2Vr,9,during,0,yes,NA
R_1NmQkOcQT42agWF,1,before,0,yes,NA
R_1NmQkOcQT42agWF,2,before,0,yes,NA
R_1NmQkOcQT42agWF,3,before,0,yes,NA
R_1NmQkOcQT42agWF,4,before,7.5,yes,multiplayer
R_1NmQkOcQT42agWF,5,before,0,yes,NA
R_1NmQkOcQT42agWF,6,before,7.5,yes,alone
R_1NmQkOcQT42agWF,7,before,0,yes,NA
R_1NmQkOcQT42agWF,8,before,0,yes,NA
R_1NmQkOcQT42agWF,9,before,0,yes,NA
R_1NmQkOcQT42agWF,1,during,0,yes,NA
R_1NmQkOcQT42agWF,2,during,0,yes,NA
R_1NmQkOcQT42agWF,3,during,0,yes,NA
R_1NmQkOcQT42agWF,4,during,14,yes,multiplayer
R_1NmQkOcQT42agWF,5,during,0,yes,NA
R_1NmQkOcQT42agWF,6,during,6,yes,alone
R_1NmQkOcQT42agWF,7,during,0,yes,NA
R_1NmQkOcQT42agWF,8,during,0,yes,NA
R_1NmQkOcQT42agWF,9,during,0,yes,NA
R_2SwMBZLcD2f52ij,1,before,0,yes,multiplayer
R_2SwMBZLcD2f52ij,2,before,0,yes,alone
R_2SwMBZLcD2f52ij,3,before,0,yes,multiplayer
R_2SwMBZLcD2f52ij,4,before,0,yes,multiplayer
R_2SwMBZLcD2f52ij,5,before,0,yes,NA
R_2SwMBZLcD2f52ij,6,before,0,yes,NA
R_2SwMBZLcD2f52ij,7,before,0,yes,NA
R_2SwMBZLcD2f52ij,8,before,0,yes,NA
R_2SwMBZLcD2f52ij,9,before,0,yes,NA
R_2SwMBZLcD2f52ij,1,during,0,yes,multiplayer
R_2SwMBZLcD2f52ij,2,during,0,yes,multiplayer
R_2SwMBZLcD2f52ij,3,during,0,yes,multiplayer
R_2SwMBZLcD2f52ij,4,during,0,yes,multiplayer
R_2SwMBZLcD2f52ij,5,during,0,yes,multiplayer
R_2SwMBZLcD2f52ij,6,during,0,yes,NA
R_2SwMBZLcD2f52ij,7,during,0,yes,NA
R_2SwMBZLcD2f52ij,8,during,0,yes,NA
R_2SwMBZLcD2f52ij,9,during,0,yes,NA
R_2QJLcvGH3VwNmlZ,1,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,2,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,3,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,4,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,5,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,6,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,7,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,8,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,9,before,NA,no,NA
R_2QJLcvGH3VwNmlZ,1,during,0,yes,NA
R_2QJLcvGH3VwNmlZ,2,during,10,yes,alone
R_2QJLcvGH3VwNmlZ,3,during,0,yes,NA
R_2QJLcvGH3VwNmlZ,4,during,0,yes,NA
R_2QJLcvGH3VwNmlZ,5,during,0,yes,NA
R_2QJLcvGH3VwNmlZ,6,during,0,yes,NA
R_2QJLcvGH3VwNmlZ,7,during,0,yes,NA
R_2QJLcvGH3VwNmlZ,8,during,10,yes,alone
R_2QJLcvGH3VwNmlZ,9,during,0,yes,NA
R_000jgq6zfKH3jcB,1,before,0,yes,NA
R_000jgq6zfKH3jcB,2,before,0,yes,NA
R_000jgq6zfKH3jcB,3,before,4,yes,alone
R_000jgq6zfKH3jcB,4,before,0,yes,NA
R_000jgq6zfKH3jcB,5,before,0,yes,NA
R_000jgq6zfKH3jcB,6,before,6,yes,alone
R_000jgq6zfKH3jcB,7,before,0,yes,NA
R_000jgq6zfKH3jcB,8,before,0,yes,NA
R_000jgq6zfKH3jcB,9,before,0,yes,NA
R_000jgq6zfKH3jcB,1,during,0,yes,NA
R_000jgq6zfKH3jcB,2,during,0,yes,NA
R_000jgq6zfKH3jcB,3,during,10.5,yes,alone
R_000jgq6zfKH3jcB,4,during,10.5,yes,alone
R_000jgq6zfKH3jcB,5,during,0,yes,NA
R_000jgq6zfKH3jcB,6,during,10.5,yes,alone
R_000jgq6zfKH3jcB,7,during,3.5,yes,alone
R_000jgq6zfKH3jcB,8,during,0,yes,NA
R_000jgq6zfKH3jcB,9,during,0,yes,NA
R_2cd59QR5hZHKBZT,1,before,0,yes,NA
R_2cd59QR5hZHKBZT,2,before,6.4,yes,alone
R_2cd59QR5hZHKBZT,3,before,0,yes,NA
R_2cd59QR5hZHKBZT,4,before,0,yes,NA
R_2cd59QR5hZHKBZT,5,before,0,yes,NA
R_2cd59QR5hZHKBZT,6,before,6.4,yes,multiplayer
R_2cd59QR5hZHKBZT,7,before,0,yes,NA
R_2cd59QR5hZHKBZT,8,before,3.2,yes,multiplayer
R_2cd59QR5hZHKBZT,9,before,0,yes,NA
R_2cd59QR5hZHKBZT,1,during,0,yes,NA
R_2cd59QR5hZHKBZT,2,during,16.5,yes,multiplayer
R_2cd59QR5hZHKBZT,3,during,38.5,yes,multiplayer
R_2cd59QR5hZHKBZT,4,during,0,yes,NA
R_2cd59QR5hZHKBZT,5,during,0,yes,NA
R_2cd59QR5hZHKBZT,6,during,0,yes,NA
R_2cd59QR5hZHKBZT,7,during,0,yes,NA
R_2cd59QR5hZHKBZT,8,during,0,yes,NA
R_2cd59QR5hZHKBZT,9,during,0,yes,NA
R_2dQRwob8W5KZXgY,1,before,0,yes,multiplayer
R_2dQRwob8W5KZXgY,2,before,0,yes,alone
R_2dQRwob8W5KZXgY,3,before,0,yes,alone
R_2dQRwob8W5KZXgY,4,before,0,yes,multiplayer
R_2dQRwob8W5KZXgY,5,before,0,yes,NA
R_2dQRwob8W5KZXgY,6,before,0,yes,NA
R_2dQRwob8W5KZXgY,7,before,0,yes,alone
R_2dQRwob8W5KZXgY,8,before,0,yes,multiplayer
R_2dQRwob8W5KZXgY,9,before,0,yes,multiplayer
R_2dQRwob8W5KZXgY,1,during,0,yes,multiplayer
R_2dQRwob8W5KZXgY,2,during,0,yes,alone
R_2dQRwob8W5KZXgY,3,during,0,yes,multiplayer
R_2dQRwob8W5KZXgY,4,during,0,yes,multiplayer
R_2dQRwob8W5KZXgY,5,during,0,yes,multiplayer
R_2dQRwob8W5KZXgY,6,during,0,yes,multiplayer
R_2dQRwob8W5KZXgY,7,during,0,yes,multiplayer
R_2dQRwob8W5KZXgY,8,during,0,yes,multiplayer
R_2dQRwob8W5KZXgY,9,during,0,yes,multiplayer
R_2tqUYhzsg6ITwD1,1,before,0,yes,NA
R_2tqUYhzsg6ITwD1,2,before,0,yes,NA
R_2tqUYhzsg6ITwD1,3,before,8.75,yes,multiplayer
R_2tqUYhzsg6ITwD1,4,before,0,yes,NA
R_2tqUYhzsg6ITwD1,5,before,0,yes,NA
R_2tqUYhzsg6ITwD1,6,before,17.5,yes,alone
R_2tqUYhzsg6ITwD1,7,before,0,yes,NA
R_2tqUYhzsg6ITwD1,8,before,8.75,yes,alone
R_2tqUYhzsg6ITwD1,9,before,0,yes,NA
R_2tqUYhzsg6ITwD1,1,during,0,yes,NA
R_2tqUYhzsg6ITwD1,2,during,0,yes,NA
R_2tqUYhzsg6ITwD1,3,during,10,yes,multiplayer
R_2tqUYhzsg6ITwD1,4,during,0,yes,NA
R_2tqUYhzsg6ITwD1,5,during,0,yes,NA
R_2tqUYhzsg6ITwD1,6,during,40,yes,multiplayer
R_2tqUYhzsg6ITwD1,7,during,0,yes,NA
R_2tqUYhzsg6ITwD1,8,during,0,yes,NA
R_2tqUYhzsg6ITwD1,9,during,0,yes,NA
R_2SvQK62v9Z0NpaC,1,before,NA,no,NA
R_2SvQK62v9Z0NpaC,2,before,NA,no,NA
R_2SvQK62v9Z0NpaC,3,before,NA,no,NA
R_2SvQK62v9Z0NpaC,4,before,NA,no,NA
R_2SvQK62v9Z0NpaC,5,before,NA,no,NA
R_2SvQK62v9Z0NpaC,6,before,NA,no,NA
R_2SvQK62v9Z0NpaC,7,before,NA,no,NA
R_2SvQK62v9Z0NpaC,8,before,NA,no,NA
R_2SvQK62v9Z0NpaC,9,before,NA,no,NA
R_2SvQK62v9Z0NpaC,1,during,7.5,yes,alone
R_2SvQK62v9Z0NpaC,2,during,0,yes,NA
R_2SvQK62v9Z0NpaC,3,during,0,yes,NA
R_2SvQK62v9Z0NpaC,4,during,0,yes,NA
R_2SvQK62v9Z0NpaC,5,during,0,yes,NA
R_2SvQK62v9Z0NpaC,6,during,22.5,yes,alone
R_2SvQK62v9Z0NpaC,7,during,0,yes,NA
R_2SvQK62v9Z0NpaC,8,during,0,yes,NA
R_2SvQK62v9Z0NpaC,9,during,0,yes,NA
R_1q9BHkV242D62cG,1,before,0,yes,NA
R_1q9BHkV242D62cG,2,before,6,yes,alone
R_1q9BHkV242D62cG,3,before,6,yes,alone
R_1q9BHkV242D62cG,4,before,0,yes,NA
R_1q9BHkV242D62cG,5,before,0,yes,NA
R_1q9BHkV242D62cG,6,before,6,yes,alone
R_1q9BHkV242D62cG,7,before,0,yes,alone
R_1q9BHkV242D62cG,8,before,12,yes,NA
R_1q9BHkV242D62cG,9,before,0,yes,NA
R_1q9BHkV242D62cG,1,during,0,yes,NA
R_1q9BHkV242D62cG,2,during,9,yes,alone
R_1q9BHkV242D62cG,3,during,9,yes,alone
R_1q9BHkV242D62cG,4,during,0,yes,NA
R_1q9BHkV242D62cG,5,during,0,yes,NA
R_1q9BHkV242D62cG,6,during,9,yes,alone
R_1q9BHkV242D62cG,7,during,18,yes,alone
R_1q9BHkV242D62cG,8,during,0,yes,NA
R_1q9BHkV242D62cG,9,during,0,yes,NA
R_1LCosfUrLhSMxRQ,1,before,0,yes,NA
R_1LCosfUrLhSMxRQ,2,before,0,yes,NA
R_1LCosfUrLhSMxRQ,3,before,0,yes,NA
R_1LCosfUrLhSMxRQ,4,before,15,yes,alone
R_1LCosfUrLhSMxRQ,5,before,0,yes,NA
R_1LCosfUrLhSMxRQ,6,before,0,yes,NA
R_1LCosfUrLhSMxRQ,7,before,0,yes,NA
R_1LCosfUrLhSMxRQ,8,before,0,yes,NA
R_1LCosfUrLhSMxRQ,9,before,0,yes,NA
R_1LCosfUrLhSMxRQ,1,during,0,yes,NA
R_1LCosfUrLhSMxRQ,2,during,0,yes,NA
R_1LCosfUrLhSMxRQ,3,during,0,yes,NA
R_1LCosfUrLhSMxRQ,4,during,9,yes,alone
R_1LCosfUrLhSMxRQ,5,during,0,yes,NA
R_1LCosfUrLhSMxRQ,6,during,0,yes,NA
R_1LCosfUrLhSMxRQ,7,during,0,yes,NA
R_1LCosfUrLhSMxRQ,8,during,0,yes,NA
R_1LCosfUrLhSMxRQ,9,during,0,yes,NA
R_2f82SUumXJ91Tm8,1,before,0,yes,NA
R_2f82SUumXJ91Tm8,2,before,12,yes,alone
R_2f82SUumXJ91Tm8,3,before,6,yes,alone
R_2f82SUumXJ91Tm8,4,before,24,yes,multiplayer
R_2f82SUumXJ91Tm8,5,before,0,yes,NA
R_2f82SUumXJ91Tm8,6,before,6,yes,alone
R_2f82SUumXJ91Tm8,7,before,0,yes,NA
R_2f82SUumXJ91Tm8,8,before,12,yes,alone
R_2f82SUumXJ91Tm8,9,before,0,yes,NA
R_2f82SUumXJ91Tm8,1,during,0,yes,NA
R_2f82SUumXJ91Tm8,2,during,27,yes,alone
R_2f82SUumXJ91Tm8,3,during,9,yes,alone
R_2f82SUumXJ91Tm8,4,during,9,yes,multiplayer
R_2f82SUumXJ91Tm8,5,during,0,yes,NA
R_2f82SUumXJ91Tm8,6,during,36,yes,alone
R_2f82SUumXJ91Tm8,7,during,0,yes,NA
R_2f82SUumXJ91Tm8,8,during,9,yes,alone
R_2f82SUumXJ91Tm8,9,during,0,yes,NA
R_3PjYxPdMelfAuAx,1,before,0,yes,NA
R_3PjYxPdMelfAuAx,2,before,0,yes,NA
R_3PjYxPdMelfAuAx,3,before,10,yes,alone
R_3PjYxPdMelfAuAx,4,before,5,yes,multiplayer
R_3PjYxPdMelfAuAx,5,before,0,yes,NA
R_3PjYxPdMelfAuAx,6,before,10,yes,alone
R_3PjYxPdMelfAuAx,7,before,0,yes,NA
R_3PjYxPdMelfAuAx,8,before,0,yes,NA
R_3PjYxPdMelfAuAx,9,before,0,yes,NA
R_3PjYxPdMelfAuAx,1,during,0,yes,NA
R_3PjYxPdMelfAuAx,2,during,0,yes,NA
R_3PjYxPdMelfAuAx,3,during,0,yes,NA
R_3PjYxPdMelfAuAx,4,during,0,yes,NA
R_3PjYxPdMelfAuAx,5,during,0,yes,NA
R_3PjYxPdMelfAuAx,6,during,30,yes,alone
R_3PjYxPdMelfAuAx,7,during,0,yes,NA
R_3PjYxPdMelfAuAx,8,during,0,yes,NA
R_3PjYxPdMelfAuAx,9,during,0,yes,NA
R_6rhaURmMWIpWVwd,1,before,NA,no,NA
R_6rhaURmMWIpWVwd,2,before,NA,no,NA
R_6rhaURmMWIpWVwd,3,before,NA,no,NA
R_6rhaURmMWIpWVwd,4,before,NA,no,NA
R_6rhaURmMWIpWVwd,5,before,NA,no,NA
R_6rhaURmMWIpWVwd,6,before,NA,no,NA
R_6rhaURmMWIpWVwd,7,before,NA,no,NA
R_6rhaURmMWIpWVwd,8,before,NA,no,NA
R_6rhaURmMWIpWVwd,9,before,NA,no,NA
R_6rhaURmMWIpWVwd,1,during,0,yes,NA
R_6rhaURmMWIpWVwd,2,during,9,yes,alone
R_6rhaURmMWIpWVwd,3,during,6.3,yes,alone
R_6rhaURmMWIpWVwd,4,during,0,yes,NA
R_6rhaURmMWIpWVwd,5,during,0,yes,NA
R_6rhaURmMWIpWVwd,6,during,2.6999999999999997,yes,alone
R_6rhaURmMWIpWVwd,7,during,0,yes,NA
R_6rhaURmMWIpWVwd,8,during,0,yes,NA
R_6rhaURmMWIpWVwd,9,during,0,yes,NA
R_2tJtUaHMu03QTQ1,1,before,0,yes,alone
R_2tJtUaHMu03QTQ1,2,before,8,yes,alone
R_2tJtUaHMu03QTQ1,3,before,0,yes,NA
R_2tJtUaHMu03QTQ1,4,before,0,yes,NA
R_2tJtUaHMu03QTQ1,5,before,2,yes,multiplayer
R_2tJtUaHMu03QTQ1,6,before,0,yes,NA
R_2tJtUaHMu03QTQ1,7,before,0,yes,NA
R_2tJtUaHMu03QTQ1,8,before,0,yes,NA
R_2tJtUaHMu03QTQ1,9,before,0,yes,NA
R_2tJtUaHMu03QTQ1,1,during,0,yes,NA
R_2tJtUaHMu03QTQ1,2,during,14,yes,multiplayer
R_2tJtUaHMu03QTQ1,3,during,0,yes,NA
R_2tJtUaHMu03QTQ1,4,during,0,yes,NA
R_2tJtUaHMu03QTQ1,5,during,2,yes,multiplayer
R_2tJtUaHMu03QTQ1,6,during,0,yes,NA
R_2tJtUaHMu03QTQ1,7,during,4,yes,multiplayer
R_2tJtUaHMu03QTQ1,8,during,0,yes,NA
R_2tJtUaHMu03QTQ1,9,during,0,yes,NA
R_20NVUurOXIj6JN6,1,before,0,yes,NA
R_20NVUurOXIj6JN6,2,before,2.25,yes,alone
R_20NVUurOXIj6JN6,3,before,9,yes,multiplayer
R_20NVUurOXIj6JN6,4,before,22.5,yes,multiplayer
R_20NVUurOXIj6JN6,5,before,0.45,yes,NA
R_20NVUurOXIj6JN6,6,before,9,yes,alone
R_20NVUurOXIj6JN6,7,before,0.45,yes,NA
R_20NVUurOXIj6JN6,8,before,0.45,yes,NA
R_20NVUurOXIj6JN6,9,before,0.9,yes,NA
R_20NVUurOXIj6JN6,1,during,0,yes,NA
R_20NVUurOXIj6JN6,2,during,3,yes,alone
R_20NVUurOXIj6JN6,3,during,6,yes,multiplayer
R_20NVUurOXIj6JN6,4,during,21,yes,multiplayer
R_20NVUurOXIj6JN6,5,during,0,yes,NA
R_20NVUurOXIj6JN6,6,during,0,yes,multiplayer
R_20NVUurOXIj6JN6,7,during,0,yes,NA
R_20NVUurOXIj6JN6,8,during,0,yes,NA
R_20NVUurOXIj6JN6,9,during,0,yes,NA
R_1FKyUMNfVFCfhAP,1,before,0,yes,NA
R_1FKyUMNfVFCfhAP,2,before,3,yes,alone
R_1FKyUMNfVFCfhAP,3,before,2.25,yes,alone
R_1FKyUMNfVFCfhAP,4,before,3.75,yes,alone
R_1FKyUMNfVFCfhAP,5,before,0,yes,NA
R_1FKyUMNfVFCfhAP,6,before,6,yes,alone
R_1FKyUMNfVFCfhAP,7,before,0,yes,NA
R_1FKyUMNfVFCfhAP,8,before,0,yes,NA
R_1FKyUMNfVFCfhAP,9,before,0,yes,NA
R_1FKyUMNfVFCfhAP,1,during,0,yes,NA
R_1FKyUMNfVFCfhAP,2,during,8.2,yes,multiplayer
R_1FKyUMNfVFCfhAP,3,during,20.5,yes,alone
R_1FKyUMNfVFCfhAP,4,during,0,yes,NA
R_1FKyUMNfVFCfhAP,5,during,0,yes,NA
R_1FKyUMNfVFCfhAP,6,during,12.299999999999999,yes,alone
R_1FKyUMNfVFCfhAP,7,during,0,yes,NA
R_1FKyUMNfVFCfhAP,8,during,0,yes,NA
R_1FKyUMNfVFCfhAP,9,during,0,yes,NA
R_OPvs1zUpPEvZoEp,1,before,0,yes,NA
R_OPvs1zUpPEvZoEp,2,before,0,yes,NA
R_OPvs1zUpPEvZoEp,3,before,7.199999999999999,yes,multiplayer
R_OPvs1zUpPEvZoEp,4,before,16.8,yes,multiplayer
R_OPvs1zUpPEvZoEp,5,before,0,yes,NA
R_OPvs1zUpPEvZoEp,6,before,0,yes,NA
R_OPvs1zUpPEvZoEp,7,before,0,yes,NA
R_OPvs1zUpPEvZoEp,8,before,0,yes,NA
R_OPvs1zUpPEvZoEp,9,before,0,yes,NA
R_OPvs1zUpPEvZoEp,1,during,0,yes,NA
R_OPvs1zUpPEvZoEp,2,during,0,yes,NA
R_OPvs1zUpPEvZoEp,3,during,0,yes,NA
R_OPvs1zUpPEvZoEp,4,during,50,yes,multiplayer
R_OPvs1zUpPEvZoEp,5,during,0,yes,NA
R_OPvs1zUpPEvZoEp,6,during,0,yes,NA
R_OPvs1zUpPEvZoEp,7,during,0,yes,NA
R_OPvs1zUpPEvZoEp,8,during,0,yes,NA
R_OPvs1zUpPEvZoEp,9,during,0,yes,NA
R_54O3tQvET3fkQAV,1,before,6.75,yes,multiplayer
R_54O3tQvET3fkQAV,2,before,6.75,yes,alone
R_54O3tQvET3fkQAV,3,before,24.75,yes,multiplayer
R_54O3tQvET3fkQAV,4,before,0,yes,multiplayer
R_54O3tQvET3fkQAV,5,before,2.25,yes,multiplayer
R_54O3tQvET3fkQAV,6,before,4.5,yes,alone
R_54O3tQvET3fkQAV,7,before,0,yes,NA
R_54O3tQvET3fkQAV,8,before,0,yes,NA
R_54O3tQvET3fkQAV,9,before,0,yes,NA
R_54O3tQvET3fkQAV,1,during,6.75,yes,multiplayer
R_54O3tQvET3fkQAV,2,during,6.75,yes,alone
R_54O3tQvET3fkQAV,3,during,24.75,yes,multiplayer
R_54O3tQvET3fkQAV,4,during,2.25,yes,multiplayer
R_54O3tQvET3fkQAV,5,during,2.25,yes,multiplayer
R_54O3tQvET3fkQAV,6,during,2.25,yes,alone
R_54O3tQvET3fkQAV,7,during,0,yes,NA
R_54O3tQvET3fkQAV,8,during,0,yes,NA
R_54O3tQvET3fkQAV,9,during,0,yes,NA
R_2TBpq77Wwtwqrfh,1,before,NA,no,NA
R_2TBpq77Wwtwqrfh,2,before,NA,no,NA
R_2TBpq77Wwtwqrfh,3,before,NA,no,NA
R_2TBpq77Wwtwqrfh,4,before,NA,no,NA
R_2TBpq77Wwtwqrfh,5,before,NA,no,NA
R_2TBpq77Wwtwqrfh,6,before,NA,no,NA
R_2TBpq77Wwtwqrfh,7,before,NA,no,NA
R_2TBpq77Wwtwqrfh,8,before,NA,no,NA
R_2TBpq77Wwtwqrfh,9,before,NA,no,NA
R_2TBpq77Wwtwqrfh,1,during,0,yes,NA
R_2TBpq77Wwtwqrfh,2,during,0.5,yes,alone
R_2TBpq77Wwtwqrfh,3,during,9,yes,alone
R_2TBpq77Wwtwqrfh,4,during,0.5,yes,alone
R_2TBpq77Wwtwqrfh,5,during,0,yes,NA
R_2TBpq77Wwtwqrfh,6,during,0,yes,NA
R_2TBpq77Wwtwqrfh,7,during,0,yes,NA
R_2TBpq77Wwtwqrfh,8,during,0,yes,NA
R_2TBpq77Wwtwqrfh,9,during,0,yes,NA
R_2e2R7LJzpLYQiWW,1,before,0,yes,NA
R_2e2R7LJzpLYQiWW,2,before,1,yes,alone
R_2e2R7LJzpLYQiWW,3,before,5,yes,alone
R_2e2R7LJzpLYQiWW,4,before,0,yes,NA
R_2e2R7LJzpLYQiWW,5,before,4,yes,multiplayer
R_2e2R7LJzpLYQiWW,6,before,0,yes,NA
R_2e2R7LJzpLYQiWW,7,before,0,yes,NA
R_2e2R7LJzpLYQiWW,8,before,0,yes,NA
R_2e2R7LJzpLYQiWW,9,before,0,yes,NA
R_2e2R7LJzpLYQiWW,1,during,0,yes,NA
R_2e2R7LJzpLYQiWW,2,during,2,yes,alone
R_2e2R7LJzpLYQiWW,3,during,18,yes,alone
R_2e2R7LJzpLYQiWW,4,during,0,yes,NA
R_2e2R7LJzpLYQiWW,5,during,0,yes,NA
R_2e2R7LJzpLYQiWW,6,during,0,yes,NA
R_2e2R7LJzpLYQiWW,7,during,0,yes,NA
R_2e2R7LJzpLYQiWW,8,during,0,yes,NA
R_2e2R7LJzpLYQiWW,9,during,0,yes,NA
R_2Sq2mphrvRDkWOh,1,before,0,yes,NA
R_2Sq2mphrvRDkWOh,2,before,0,yes,NA
R_2Sq2mphrvRDkWOh,3,before,3,yes,multiplayer
R_2Sq2mphrvRDkWOh,4,before,0,yes,NA
R_2Sq2mphrvRDkWOh,5,before,0,yes,NA
R_2Sq2mphrvRDkWOh,6,before,0,yes,NA
R_2Sq2mphrvRDkWOh,7,before,1,yes,alone
R_2Sq2mphrvRDkWOh,8,before,0,yes,NA
R_2Sq2mphrvRDkWOh,9,before,0,yes,NA
R_2Sq2mphrvRDkWOh,1,during,0,yes,NA
R_2Sq2mphrvRDkWOh,2,during,0,yes,NA
R_2Sq2mphrvRDkWOh,3,during,8,yes,multiplayer
R_2Sq2mphrvRDkWOh,4,during,0,yes,NA
R_2Sq2mphrvRDkWOh,5,during,0,yes,NA
R_2Sq2mphrvRDkWOh,6,during,0,yes,NA
R_2Sq2mphrvRDkWOh,7,during,4,yes,alone
R_2Sq2mphrvRDkWOh,8,during,4,yes,alone
R_2Sq2mphrvRDkWOh,9,during,0,yes,NA
R_9Z70MwcyCsPC9X3,1,before,0,yes,NA
R_9Z70MwcyCsPC9X3,2,before,0.75,yes,alone
R_9Z70MwcyCsPC9X3,3,before,12,yes,multiplayer
R_9Z70MwcyCsPC9X3,4,before,0,yes,NA
R_9Z70MwcyCsPC9X3,5,before,0,yes,NA
R_9Z70MwcyCsPC9X3,6,before,0,yes,NA
R_9Z70MwcyCsPC9X3,7,before,0,yes,NA
R_9Z70MwcyCsPC9X3,8,before,2.25,yes,alone
R_9Z70MwcyCsPC9X3,9,before,0,yes,NA
R_9Z70MwcyCsPC9X3,1,during,0,yes,NA
R_9Z70MwcyCsPC9X3,2,during,0.5,yes,alone
R_9Z70MwcyCsPC9X3,3,during,8,yes,multiplayer
R_9Z70MwcyCsPC9X3,4,during,0,yes,NA
R_9Z70MwcyCsPC9X3,5,during,0,yes,NA
R_9Z70MwcyCsPC9X3,6,during,0,yes,NA
R_9Z70MwcyCsPC9X3,7,during,0,yes,NA
R_9Z70MwcyCsPC9X3,8,during,1.5,yes,alone
R_9Z70MwcyCsPC9X3,9,during,0,yes,NA
R_2zBXAI5qUYmV4DB,1,before,0,yes,NA
R_2zBXAI5qUYmV4DB,2,before,1.25,yes,alone
R_2zBXAI5qUYmV4DB,3,before,7.5,yes,alone
R_2zBXAI5qUYmV4DB,4,before,0,yes,NA
R_2zBXAI5qUYmV4DB,5,before,0,yes,NA
R_2zBXAI5qUYmV4DB,6,before,16.25,yes,alone
R_2zBXAI5qUYmV4DB,7,before,0,yes,NA
R_2zBXAI5qUYmV4DB,8,before,0,yes,NA
R_2zBXAI5qUYmV4DB,9,before,0,yes,NA
R_2zBXAI5qUYmV4DB,1,during,0,yes,NA
R_2zBXAI5qUYmV4DB,2,during,2.25,yes,alone
R_2zBXAI5qUYmV4DB,3,during,18,yes,alone
R_2zBXAI5qUYmV4DB,4,during,6.75,yes,multiplayer
R_2zBXAI5qUYmV4DB,5,during,0,yes,NA
