response_id,time,score
R_R80uXkBmWsWOzfP,before,3
R_RLcbhnqjnjLiaVX,after,4
R_RLcbhnqjnjLiaVX,before,3
R_RzB3YPB2gpL3ylr,after,3
R_RzB3YPB2gpL3ylr,before,3
R_SBupPeUb0kJ7NJL,after,6
R_SBupPeUb0kJ7NJL,before,3
R_SIf4380kHiu7wAh,after,6
R_SIf4380kHiu7wAh,before,6
R_SOViMCN9d7ybO8h,after,5
R_SOViMCN9d7ybO8h,before,5
R_SUcU46CryPkShsR,after,8
R_SUcU46CryPkShsR,before,6
R_UoPiHE2v8sEVOJb,after,9
R_UoPiHE2v8sEVOJb,before,7
R_upLgg7PndxOE2Vr,after,3
R_upLgg7PndxOE2Vr,before,5
R_UtoTopbBz0tqPqp,after,6
R_UtoTopbBz0tqPqp,before,4
R_UuOGjA6wOYIRHUt,after,7
R_UuOGjA6wOYIRHUt,before,6
R_WerDtRBiVK6hlnP,after,8
R_WerDtRBiVK6hlnP,before,6
R_WxPm6DIjeTENfxv,after,6
R_WxPm6DIjeTENfxv,before,4
R_Xjm191b0NxVNvbz,after,8
R_Xjm191b0NxVNvbz,before,6
R_z7JR0f6BK2Ps1i1,after,5
R_z7JR0f6BK2Ps1i1,before,5
R_Zgzav0hvyZ96c6d,after,7
R_Zgzav0hvyZ96c6d,before,6
R_ZmHvxJewc1RDEfT,after,3
R_ZmHvxJewc1RDEfT,before,4
R_Zrj2VRi2kmSoAoN,after,8
R_Zrj2VRi2kmSoAoN,before,7
R_ZxG3FMCz1l6uJd7,after,6
R_ZxG3FMCz1l6uJd7,before,6
