response_id,n_missing,has_missing
R_1M3DvETU5JOu5b0,0,0
R_3iWtUWUbIxPab5K,0,0
R_2CB7Tu6CfOt3tUN,0,0
R_2ARphcLKbG8pCbs,0,0
R_1dFdkaSKE6hI4m0,0,0
R_3D7xVjOEj7lRX1u,0,0
R_246tBSBZyx6fChw,0,0
R_3DcJPhdo2DHBes3,0,0
R_3EjaJDRhLy9xsUT,0,0
R_3gLfJnM7hmP4b0g,0,0
R_1GKJM6pEM2FrpLP,0,0
R_3h0zYlV2nMlsjkp,0,0
R_2bVGOK2omxjKHpn,0,0
R_3ne0xvsnUk3Dg2b,0,0
R_1riU7KvjYAwtXJE,0,0
R_33m18XGfnq4Vj9o,0,0
R_2YyT0OjStuntyXf,0,0
R_2QzW5HTDKSQoIdW,1,1
R_1PYHLXLRtVtLKCC,1,1
R_2fvruv9ZivyF7o5,0,0
R_1Fl9AQQ2mrxHqGW,0,0
R_2wmnaQBPNB7V2gM,0,0
R_piX57LSmaReTby1,0,0
R_Oju76sshryv7YAh,0,0
R_Xjm191b0NxVNvbz,0,0
R_30uRCB7vSqjK8Tf,0,0
R_1QfJ0V1q7quecwG,0,0
R_2VkJBjNuuyAttyZ,0,0
R_RLcbhnqjnjLiaVX,0,0
R_2B4II5QqOBTuBsc,0,0
R_1M5w3AllKLTG9vr,0,0
R_2fvUAwVkhV1ypOM,0,0
R_0vTXEcLGjOc6uRj,1,1
R_3259jqnrUhcJUgT,0,0
R_3VJUdRxHSSY9KRH,0,0
R_b3OqdK3QYKKuHYd,0,0
R_8jHHv1qsC7vCAz7,0,0
R_BDGcUeEGjSpIacN,0,0
R_1IinNUQ1rqrHi12,1,1
R_3lxovCWhEaeqaCs,0,0
R_1N9O72YdQ4GZFDi,0,0
R_brWqcjWNLR2SR6p,0,0
R_1HbCUjufNKWfBV4,0,0
R_OP7imJenh3QEzHr,0,0
R_1mmJ4ZOT1aKUnz7,0,0
R_2YJKbEV4DDO8Lc0,0,0
R_1FmqwzhhGgMovg2,0,0
R_6kZae0087zktvOx,0,0
R_24isskypHAzj6a4,0,0
R_b25c1SzzqBXhNlf,0,0
R_1nSWaU6aHeoCVz1,1,1
R_2XcEmd1YzcIXw1Y,0,0
R_3KCvZebmGxmSVat,0,0
R_2TSJxMqN9gOlUOV,0,0
R_3jV6I52yPFAZ8oy,0,0
R_1E5vpihv0BCn2Jo,0,0
R_2UVJlgmzYG5Xn9P,0,0
R_3asqcGii6ulHk9X,0,0
R_2947NV0sa0o6uqa,0,0
R_1Nady9hvbIvDcLg,0,0
R_1N9QWsuqE4dwJj0,0,0
R_SIf4380kHiu7wAh,0,0
R_217aRM2HjOL4rwC,0,0
R_1DtGqgKOtlhl4vS,0,0
R_2DUjHNE8XFxwngK,0,0
R_3MRUJRa1S8L3skj,0,0
R_UuOGjA6wOYIRHUt,0,0
R_1eqNc6OUIYqj3s8,0,0
R_3koLHqG1bLK3yy5,0,0
R_2qrC4O6fVkjwiry,0,0
R_31uPOPILKqOF5Z3,0,0
R_ZxG3FMCz1l6uJd7,0,0
R_SUcU46CryPkShsR,0,0
R_1cSrZsKJbMLVpfn,0,0
R_3e1VGffpt89tw8h,0,0
R_25z3VIIwpNMoGjS,0,0
R_3pajSVQnjGXyVpt,0,0
R_2TG0VS1cyTZTOII,0,0
R_3fTa3QYnPZpSeen,0,0
R_2vZKXOkrXwQOPM0,0,0
R_1OIk0siawnKDTiy,0,0
R_1mIvz4scUnVKLx7,0,0
R_Zrj2VRi2kmSoAoN,0,0
R_WxPm6DIjeTENfxv,0,0
R_2yk1CSC8mwjjLGP,3,1
R_3O0Oame9dqBbP5b,0,0
R_DejQ8cSCeZ4rekp,0,0
R_1GPMTpTMgSvK0K5,0,0
R_1OVLo23ZSViJv0e,0,0
R_27D28zcmps8GRka,0,0
R_1isdeJ0akLVA05z,0,0
R_3n2iadGDdM5zQ7k,0,0
R_3scUafsIK61edPZ,0,0
R_29gj9i4nykxouwi,0,0
R_3HS9n2GsIIHkDkT,0,0
R_2YyK6503UwmpO2W,0,0
R_2OYGHuXGBqkz2JB,0,0
R_2E4NIJT672CNqhY,0,0
R_BPqFXh1wkgyB1Tz,0,0
R_3m4gEtF4OFDZWgM,0,0
R_1jf9Sx7JAoAu6dB,0,0
R_10TobIjLKGhA3cQ,0,0
R_1oCk4T1oiygv2K1,0,0
R_3oQRoNnZNzfXRdA,0,0
R_2OPDHtEfJyTCxsv,0,0
R_3dEN30zDtOpYP25,0,0
R_2rhWa2106Du6K5T,0,0
R_29sTVuZYJRxiKzv,0,0
R_1E0SL2RcGCHB4YG,1,1
R_2CTWdkSw6ViCuJq,0,0
R_111rjgTikYEbPtb,0,0
R_1IFBVZISRpLTJit,0,0
R_2zUqq1urUzBGq6C,0,0
R_ykakyVymnlCDlQZ,0,0
R_pJBqW9a6blfxMnn,0,0
R_2aM58IL6PRjl31M,0,0
R_BSsMj7rx2Tnixot,0,0
R_2SeikFcu2AS9w7X,0,0
R_2e9aZobX5Mrf2mF,0,0
R_SOViMCN9d7ybO8h,0,0
R_3CJmLr5kxXIjcgY,0,0
R_1llE7wmaJfKwhMv,0,0
R_3M4IeaDW99mC9dK,0,0
R_3hEAA1sGTLuhlZP,0,0
R_2xY2K6LH7A68nB1,0,0
R_1Ka3YhFFxRPhu6A,0,0
R_1jptKS7BPpIT1cD,0,0
R_2trlnajiLWtBHVS,1,1
R_3JecnAA27cFGR9J,0,0
R_2yrXHzzzgNeI0Ry,0,0
R_1KlistIPWgoY83s,0,0
R_2R97eLv3ogd7F2s,0,0
R_31LSyq6W3sTmpY5,0,0
R_2SH3IlYMix1JYmN,0,0
R_1jkddLsj0iUCBlG,1,1
R_UtoTopbBz0tqPqp,0,0
R_21mMIqW3mCkwgHy,0,0
R_Xzj8CbUZRnKEBKV,0,0
R_ZmHvxJewc1RDEfT,0,0
