response_id,lockdown_period,type,hours
R_3Dhl5RDE5WPkhjZ,hours_together_without_chat,before,NA
R_3Dhl5RDE5WPkhjZ,hours_alone,before,NA
R_3Dhl5RDE5WPkhjZ,hours_together_with_chat,after,NA
R_3Dhl5RDE5WPkhjZ,hours_together_without_chat,after,NA
R_3Dhl5RDE5WPkhjZ,hours_alone_before,duplicate,NA
R_82Cae0gGCtZlvZD,hours_together_with_chat,before,30
R_82Cae0gGCtZlvZD,hours_together_without_chat,before,NA
R_82Cae0gGCtZlvZD,hours_alone,before,20
R_82Cae0gGCtZlvZD,hours_together_with_chat,after,31
R_82Cae0gGCtZlvZD,hours_together_without_chat,after,NA
R_82Cae0gGCtZlvZD,hours_alone_before,duplicate,36
R_0Iq1QihJbkIZGG5,hours_together_with_chat,before,1
R_0Iq1QihJbkIZGG5,hours_together_without_chat,before,NA
R_0Iq1QihJbkIZGG5,hours_alone,before,NA
R_0Iq1QihJbkIZGG5,hours_together_with_chat,after,NA
R_0Iq1QihJbkIZGG5,hours_together_without_chat,after,NA
R_0Iq1QihJbkIZGG5,hours_alone_before,duplicate,NA
R_XYYWZaTga3BEXdL,hours_together_with_chat,before,NA
R_XYYWZaTga3BEXdL,hours_together_without_chat,before,NA
R_XYYWZaTga3BEXdL,hours_alone,before,NA
R_XYYWZaTga3BEXdL,hours_together_with_chat,after,NA
R_XYYWZaTga3BEXdL,hours_together_without_chat,after,NA
R_XYYWZaTga3BEXdL,hours_alone_before,duplicate,NA
R_31BhgcJAtt4udIx,hours_together_with_chat,before,20
R_31BhgcJAtt4udIx,hours_together_without_chat,before,20
R_31BhgcJAtt4udIx,hours_alone,before,20
R_31BhgcJAtt4udIx,hours_together_with_chat,after,10
R_31BhgcJAtt4udIx,hours_together_without_chat,after,10
R_31BhgcJAtt4udIx,hours_alone_before,duplicate,11
R_O22BvtbesSiM9H3,hours_together_with_chat,before,NA
R_O22BvtbesSiM9H3,hours_together_without_chat,before,NA
R_O22BvtbesSiM9H3,hours_alone,before,10
R_O22BvtbesSiM9H3,hours_together_with_chat,after,NA
R_O22BvtbesSiM9H3,hours_together_without_chat,after,NA
R_O22BvtbesSiM9H3,hours_alone_before,duplicate,6
R_22Q9Iw4NYMriVYz,hours_together_with_chat,before,NA
R_22Q9Iw4NYMriVYz,hours_together_without_chat,before,NA
R_22Q9Iw4NYMriVYz,hours_alone,before,NA
R_22Q9Iw4NYMriVYz,hours_together_with_chat,after,NA
R_22Q9Iw4NYMriVYz,hours_together_without_chat,after,NA
R_22Q9Iw4NYMriVYz,hours_alone_before,duplicate,NA
R_V213xJcCci8mpHj,hours_together_with_chat,before,12
R_V213xJcCci8mpHj,hours_together_without_chat,before,12
R_V213xJcCci8mpHj,hours_alone,before,8
R_V213xJcCci8mpHj,hours_together_with_chat,after,10
R_V213xJcCci8mpHj,hours_together_without_chat,after,18
R_V213xJcCci8mpHj,hours_alone_before,duplicate,12
R_3QM1yoXPn1WIPIp,hours_together_with_chat,before,NA
R_3QM1yoXPn1WIPIp,hours_together_without_chat,before,NA
R_3QM1yoXPn1WIPIp,hours_alone,before,NA
R_3QM1yoXPn1WIPIp,hours_together_with_chat,after,NA
R_3QM1yoXPn1WIPIp,hours_together_without_chat,after,NA
R_3QM1yoXPn1WIPIp,hours_alone_before,duplicate,NA
R_O9VAqYUDUshWv73,hours_together_with_chat,before,NA
R_O9VAqYUDUshWv73,hours_together_without_chat,before,NA
R_O9VAqYUDUshWv73,hours_alone,before,NA
R_O9VAqYUDUshWv73,hours_together_with_chat,after,NA
R_O9VAqYUDUshWv73,hours_together_without_chat,after,NA
R_O9VAqYUDUshWv73,hours_alone_before,duplicate,NA
R_2ANDY1UL9QHh0bt,hours_together_with_chat,before,NA
R_2ANDY1UL9QHh0bt,hours_together_without_chat,before,20
R_2ANDY1UL9QHh0bt,hours_alone,before,NA
R_2ANDY1UL9QHh0bt,hours_together_with_chat,after,NA
R_2ANDY1UL9QHh0bt,hours_together_without_chat,after,34
R_2ANDY1UL9QHh0bt,hours_alone_before,duplicate,19
R_3PNeMMqpSuzFgK6,hours_together_with_chat,before,NA
R_3PNeMMqpSuzFgK6,hours_together_without_chat,before,NA
R_3PNeMMqpSuzFgK6,hours_alone,before,NA
R_3PNeMMqpSuzFgK6,hours_together_with_chat,after,NA
R_3PNeMMqpSuzFgK6,hours_together_without_chat,after,NA
R_3PNeMMqpSuzFgK6,hours_alone_before,duplicate,NA
R_2fjoBMWdN1ICH1c,hours_together_with_chat,before,NA
R_2fjoBMWdN1ICH1c,hours_together_without_chat,before,NA
R_2fjoBMWdN1ICH1c,hours_alone,before,NA
R_2fjoBMWdN1ICH1c,hours_together_with_chat,after,NA
R_2fjoBMWdN1ICH1c,hours_together_without_chat,after,NA
R_2fjoBMWdN1ICH1c,hours_alone_before,duplicate,NA
R_p59dkfQNljmhosh,hours_together_with_chat,before,NA
R_p59dkfQNljmhosh,hours_together_without_chat,before,NA
R_p59dkfQNljmhosh,hours_alone,before,NA
R_p59dkfQNljmhosh,hours_together_with_chat,after,NA
R_p59dkfQNljmhosh,hours_together_without_chat,after,NA
R_p59dkfQNljmhosh,hours_alone_before,duplicate,NA
R_6nxz0eKfNc1cdKF,hours_together_with_chat,before,NA
R_6nxz0eKfNc1cdKF,hours_together_without_chat,before,NA
R_6nxz0eKfNc1cdKF,hours_alone,before,NA
R_6nxz0eKfNc1cdKF,hours_together_with_chat,after,NA
R_6nxz0eKfNc1cdKF,hours_together_without_chat,after,NA
R_6nxz0eKfNc1cdKF,hours_alone_before,duplicate,16
R_1Ghi9cuDLyS5Fvj,hours_together_with_chat,before,NA
R_1Ghi9cuDLyS5Fvj,hours_together_without_chat,before,NA
R_1Ghi9cuDLyS5Fvj,hours_alone,before,NA
R_1Ghi9cuDLyS5Fvj,hours_together_with_chat,after,NA
R_1Ghi9cuDLyS5Fvj,hours_together_without_chat,after,NA
R_1Ghi9cuDLyS5Fvj,hours_alone_before,duplicate,NA
R_2ri38po4P4fnJtK,hours_together_with_chat,before,25
R_2ri38po4P4fnJtK,hours_together_without_chat,before,NA
R_2ri38po4P4fnJtK,hours_alone,before,NA
R_2ri38po4P4fnJtK,hours_together_with_chat,after,40
R_2ri38po4P4fnJtK,hours_together_without_chat,after,NA
R_2ri38po4P4fnJtK,hours_alone_before,duplicate,1
R_zSuKsNMuq2O2oA9,hours_together_with_chat,before,3
R_zSuKsNMuq2O2oA9,hours_together_without_chat,before,NA
R_zSuKsNMuq2O2oA9,hours_alone,before,NA
R_zSuKsNMuq2O2oA9,hours_together_with_chat,after,2
R_zSuKsNMuq2O2oA9,hours_together_without_chat,after,NA
R_zSuKsNMuq2O2oA9,hours_alone_before,duplicate,NA
R_2Y3vSpPmQtCUg27,hours_together_with_chat,before,6
R_2Y3vSpPmQtCUg27,hours_together_without_chat,before,7
R_2Y3vSpPmQtCUg27,hours_alone,before,6
R_2Y3vSpPmQtCUg27,hours_together_with_chat,after,11
R_2Y3vSpPmQtCUg27,hours_together_without_chat,after,11
R_2Y3vSpPmQtCUg27,hours_alone_before,duplicate,11
R_cTMYr4InmqWqxyx,hours_together_with_chat,before,NA
R_cTMYr4InmqWqxyx,hours_together_without_chat,before,NA
R_cTMYr4InmqWqxyx,hours_alone,before,NA
R_cTMYr4InmqWqxyx,hours_together_with_chat,after,NA
R_cTMYr4InmqWqxyx,hours_together_without_chat,after,NA
R_cTMYr4InmqWqxyx,hours_alone_before,duplicate,NA
R_Ub92pGLz1xv4fbr,hours_together_with_chat,before,NA
R_Ub92pGLz1xv4fbr,hours_together_without_chat,before,10
R_Ub92pGLz1xv4fbr,hours_alone,before,12
R_Ub92pGLz1xv4fbr,hours_together_with_chat,after,NA
R_Ub92pGLz1xv4fbr,hours_together_without_chat,after,NA
R_Ub92pGLz1xv4fbr,hours_alone_before,duplicate,10
R_2WUWSPXQGpkoYiQ,hours_together_with_chat,before,6
R_2WUWSPXQGpkoYiQ,hours_together_without_chat,before,NA
R_2WUWSPXQGpkoYiQ,hours_alone,before,24
R_2WUWSPXQGpkoYiQ,hours_together_with_chat,after,5
R_2WUWSPXQGpkoYiQ,hours_together_without_chat,after,NA
R_2WUWSPXQGpkoYiQ,hours_alone_before,duplicate,20
R_1GTWJReePx9Mt0Y,hours_together_with_chat,before,NA
R_1GTWJReePx9Mt0Y,hours_together_without_chat,before,NA
R_1GTWJReePx9Mt0Y,hours_alone,before,NA
R_1GTWJReePx9Mt0Y,hours_together_with_chat,after,NA
R_1GTWJReePx9Mt0Y,hours_together_without_chat,after,NA
R_1GTWJReePx9Mt0Y,hours_alone_before,duplicate,NA
R_3HIxxqBts6Z0OZO,hours_together_with_chat,before,21
R_3HIxxqBts6Z0OZO,hours_together_without_chat,before,NA
R_3HIxxqBts6Z0OZO,hours_alone,before,34
R_3HIxxqBts6Z0OZO,hours_together_with_chat,after,10
R_3HIxxqBts6Z0OZO,hours_together_without_chat,after,NA
R_3HIxxqBts6Z0OZO,hours_alone_before,duplicate,60
R_2VsTI6YcrvQkU00,hours_together_with_chat,before,NA
R_2VsTI6YcrvQkU00,hours_together_without_chat,before,NA
R_2VsTI6YcrvQkU00,hours_alone,before,45
R_2VsTI6YcrvQkU00,hours_together_with_chat,after,NA
R_2VsTI6YcrvQkU00,hours_together_without_chat,after,1
R_2VsTI6YcrvQkU00,hours_alone_before,duplicate,60
R_bl5z1a8F19q4rol,hours_together_with_chat,before,NA
R_bl5z1a8F19q4rol,hours_together_without_chat,before,NA
R_bl5z1a8F19q4rol,hours_alone,before,NA
R_bl5z1a8F19q4rol,hours_together_with_chat,after,NA
R_bl5z1a8F19q4rol,hours_together_without_chat,after,NA
R_bl5z1a8F19q4rol,hours_alone_before,duplicate,NA
R_2riPjmHJ1ujE2AI,hours_together_with_chat,before,NA
R_2riPjmHJ1ujE2AI,hours_together_without_chat,before,NA
R_2riPjmHJ1ujE2AI,hours_alone,before,8
R_2riPjmHJ1ujE2AI,hours_together_with_chat,after,NA
R_2riPjmHJ1ujE2AI,hours_together_without_chat,after,NA
R_2riPjmHJ1ujE2AI,hours_alone_before,duplicate,NA
R_237akAEwp1ZNQtX,hours_together_with_chat,before,44
R_237akAEwp1ZNQtX,hours_together_without_chat,before,29
R_237akAEwp1ZNQtX,hours_alone,before,30
R_237akAEwp1ZNQtX,hours_together_with_chat,after,30
R_237akAEwp1ZNQtX,hours_together_without_chat,after,30
R_237akAEwp1ZNQtX,hours_alone_before,duplicate,30
R_28YlGk4KWcNC1Hz,hours_together_with_chat,before,88
R_28YlGk4KWcNC1Hz,hours_together_without_chat,before,17
R_28YlGk4KWcNC1Hz,hours_alone,before,20
R_28YlGk4KWcNC1Hz,hours_together_with_chat,after,22
R_28YlGk4KWcNC1Hz,hours_together_without_chat,after,12
R_28YlGk4KWcNC1Hz,hours_alone_before,duplicate,NA
R_1l3QaBdaMZAzDNc,hours_together_with_chat,before,2
R_1l3QaBdaMZAzDNc,hours_together_without_chat,before,3
R_1l3QaBdaMZAzDNc,hours_alone,before,6
R_1l3QaBdaMZAzDNc,hours_together_with_chat,after,3
R_1l3QaBdaMZAzDNc,hours_together_without_chat,after,2
R_1l3QaBdaMZAzDNc,hours_alone_before,duplicate,6
R_WkD2Xf1StVlY1k5,hours_together_with_chat,before,5
R_WkD2Xf1StVlY1k5,hours_together_without_chat,before,10
R_WkD2Xf1StVlY1k5,hours_alone,before,10
R_WkD2Xf1StVlY1k5,hours_together_with_chat,after,4
R_WkD2Xf1StVlY1k5,hours_together_without_chat,after,11
R_WkD2Xf1StVlY1k5,hours_alone_before,duplicate,8
R_3e2GBC1tsXm5UH9,hours_together_with_chat,before,10
R_3e2GBC1tsXm5UH9,hours_together_without_chat,before,1
R_3e2GBC1tsXm5UH9,hours_alone,before,20
R_3e2GBC1tsXm5UH9,hours_together_with_chat,after,11
R_3e2GBC1tsXm5UH9,hours_together_without_chat,after,10
R_3e2GBC1tsXm5UH9,hours_alone_before,duplicate,21
R_5A6WR2APgRZFueJ,hours_together_with_chat,before,NA
R_5A6WR2APgRZFueJ,hours_together_without_chat,before,15
R_5A6WR2APgRZFueJ,hours_alone,before,15
R_5A6WR2APgRZFueJ,hours_together_with_chat,after,NA
R_5A6WR2APgRZFueJ,hours_together_without_chat,after,NA
R_5A6WR2APgRZFueJ,hours_alone_before,duplicate,NA
R_1OGOApUcrgQ9PDV,hours_together_with_chat,before,NA
R_1OGOApUcrgQ9PDV,hours_together_without_chat,before,NA
R_1OGOApUcrgQ9PDV,hours_alone,before,NA
R_1OGOApUcrgQ9PDV,hours_together_with_chat,after,14
R_1OGOApUcrgQ9PDV,hours_together_without_chat,after,5
R_1OGOApUcrgQ9PDV,hours_alone_before,duplicate,NA
R_AFO5tTqn4Q8XmqB,hours_together_with_chat,before,NA
R_AFO5tTqn4Q8XmqB,hours_together_without_chat,before,10
R_AFO5tTqn4Q8XmqB,hours_alone,before,5
R_AFO5tTqn4Q8XmqB,hours_together_with_chat,after,NA
R_AFO5tTqn4Q8XmqB,hours_together_without_chat,after,10
R_AFO5tTqn4Q8XmqB,hours_alone_before,duplicate,NA
R_3fiMnltHW0VY7HP,hours_together_with_chat,before,20
R_3fiMnltHW0VY7HP,hours_together_without_chat,before,5
R_3fiMnltHW0VY7HP,hours_alone,before,5
R_3fiMnltHW0VY7HP,hours_together_with_chat,after,10
R_3fiMnltHW0VY7HP,hours_together_without_chat,after,5
R_3fiMnltHW0VY7HP,hours_alone_before,duplicate,6
R_2qpx286lR9fjVMC,hours_together_with_chat,before,8
R_2qpx286lR9fjVMC,hours_together_without_chat,before,NA
R_2qpx286lR9fjVMC,hours_alone,before,12
R_2qpx286lR9fjVMC,hours_together_with_chat,after,8
R_2qpx286lR9fjVMC,hours_together_without_chat,after,NA
R_2qpx286lR9fjVMC,hours_alone_before,duplicate,9
R_2fy7OLb5SO3rVpk,hours_together_with_chat,before,NA
R_2fy7OLb5SO3rVpk,hours_together_without_chat,before,NA
R_2fy7OLb5SO3rVpk,hours_alone,before,NA
R_2fy7OLb5SO3rVpk,hours_together_with_chat,after,NA
R_2fy7OLb5SO3rVpk,hours_together_without_chat,after,NA
R_2fy7OLb5SO3rVpk,hours_alone_before,duplicate,NA
R_31RjR49IX1YOJ7y,hours_together_with_chat,before,NA
R_31RjR49IX1YOJ7y,hours_together_without_chat,before,NA
R_31RjR49IX1YOJ7y,hours_alone,before,NA
R_31RjR49IX1YOJ7y,hours_together_with_chat,after,21
R_31RjR49IX1YOJ7y,hours_together_without_chat,after,NA
R_31RjR49IX1YOJ7y,hours_alone_before,duplicate,NA
R_yl0OHDoTCu63b7b,hours_together_with_chat,before,NA
R_yl0OHDoTCu63b7b,hours_together_without_chat,before,7
R_yl0OHDoTCu63b7b,hours_alone,before,25
R_yl0OHDoTCu63b7b,hours_together_with_chat,after,NA
R_yl0OHDoTCu63b7b,hours_together_without_chat,after,6
R_yl0OHDoTCu63b7b,hours_alone_before,duplicate,25
R_8vUJrorD6qPhNCh,hours_together_with_chat,before,NA
R_8vUJrorD6qPhNCh,hours_together_without_chat,before,NA
R_8vUJrorD6qPhNCh,hours_alone,before,18
R_8vUJrorD6qPhNCh,hours_together_with_chat,after,NA
R_8vUJrorD6qPhNCh,hours_together_without_chat,after,NA
R_8vUJrorD6qPhNCh,hours_alone_before,duplicate,31
R_Wrr9h9YwjeBoNpf,hours_together_with_chat,before,10
R_Wrr9h9YwjeBoNpf,hours_together_without_chat,before,NA
R_Wrr9h9YwjeBoNpf,hours_alone,before,10
R_Wrr9h9YwjeBoNpf,hours_together_with_chat,after,8
R_Wrr9h9YwjeBoNpf,hours_together_without_chat,after,NA
R_Wrr9h9YwjeBoNpf,hours_alone_before,duplicate,NA
R_SDnvXDdPlMdrs9r,hours_together_with_chat,before,10
R_SDnvXDdPlMdrs9r,hours_together_without_chat,before,NA
R_SDnvXDdPlMdrs9r,hours_alone,before,20
R_SDnvXDdPlMdrs9r,hours_together_with_chat,after,11
R_SDnvXDdPlMdrs9r,hours_together_without_chat,after,NA
R_SDnvXDdPlMdrs9r,hours_alone_before,duplicate,16
